"nombre_personaje","pelicula_id"
"Paula Cortés",48
"Polin Garbisú",49
"Waldo Cañete",50
"Hugo Tripodi",51
"Hugo Tripodi",52
"Sebastián Muñoz",53
"Martín Daiber",54
"Polin Garbisú",55
"Alonzo Machuca",56
"Hugo Tripodi",59
"Rodrigo Bazaes",60
"Rodrigo Bazaes",62
"María Eugenia Navarro",63
"Antonia Hernández (II)",64
"Paulina Braithwaite",66
"Rodrigo Bazaes",70
"Mercedes Marambio",75
"Maritxu Heuty",90
"Victoria Giacoman",90
"María Eugenia Navarro",94
"Constanza Meza-Lopehandía",75
"Alfonso Gazitúa",61
"Carlos Garrido",108
"Macarena Aguiló",114
"Sebastián Muñoz",125
"Verónica Astudillo",126
"Verónica Astudillo",127
"Leticia Kausel",128
"Rodrigo Guerra",130
"Francisca Marshall",135
"Nelson Daniel",137
"Iris Santamaría",139
"Carla Solanes",139
"Soledad Morales",140
"Polin Garbisú",141
"Verónica Astudillo",145
"Estefanía Larraín",147
"Rodrigo Bazaes",147
"Paula Villalba",148
"Sebastián Muñoz",152
"Esteban Larraín",154
"Constanza Meza-Lopehandía",157
"Mercedes Marambio",157
"Fernanda Durán",157
"Nicole Blanc",157
"Sebastián Muñoz",242
"Sebastián Muñoz",244
"Constanza Meza-Lopehandía",253
"Catherine Cordomi",274
"Pamela Chamorro",297
"Gonzalo Medel",299
"Carmela Silva",345
"Felipe Da Silva",358
"Lidia Macaya",358
"Felipe Joos",358
"Polin Garbisú",397
"José Luis Muñoz",635
"Matías Iglesias",123
"Polin Garbisú",778
"Nicole Blanc",779
"Carlos Montecinos",780
"Daniela Jiménez",788
"Fernanda Montesi",791
"José Joaquin Salles",849
"Estefanía Larraín",898
"Andrea Loyola",949
"Estefanía Larraín",1098
"Rocío Monasterio",1176
"Bárbara Rebolledo",1179
"Marcelo Quintrileo",1171
"Carlos Garrido",783
"Carolina Adriazola",753
"Amparo Baeza",782
"Hugo Tripodi",1382
"Rodrigo Guerra",245
"Francisca Sallato",1429
"Tamara Villanovoa",787
"Daniela Jiménez",787
"Bárbara Enríquez",792
"Jorge Zambrano",1378
"Rodrigo Bazaes",1379
"Ricardo Brenning",1690
"Fernando Briones",1380
"Catalina Devia",1497
"Soledad Morales",1667
"Catalina Aguilar",1770
"Alejandro Chávez",1811
"Francisca Marshall",1837
"Mara Grinbergs",1846
"Verónica Astudillo",1391
"Andrea Obach",870
"Constanza Meza-Lopehandía",132
"Estefanía Larraín",2013
"Polin Garbisú",1982
"Lala Severi",2037
"Erika Pulgar",2048
"Guillermo Salinas",2048
"Camila Villanueva",2038
"Nicolás Oyarce",1205
"Felipe Hermosilla",2108
"Pamela Chamorro",2109
"Estefanía Larraín",2094
"Tim Pannen",2168
"Cristóbal Alvarez",2211
"Sebastián Muñoz",2218
"Cristián Sanhueza",2221
"Paula Arancibia",2254
"Marisol Torres",2273
"Amparo Baeza",2080
"Macarena Badilla",2292
"Viviana Corvalán",2335
"Mark Grattan",2381
"Jaime Hormazabal",1386
"Marcela Urivi",2377
"Sebastián Muñoz",1377
"Javiera Espinosa",2403
"Patricia Ahumada",2483
"Guillermo Donoso",2520
"Bernardita Baeza",2562
"Soledad Morales",2563
"Hugo Tripodi",2564
"Johanna Mora",2566
"Nicole Guzmán",2580
"Cristián Mayorga",2588
"Paula Trujillo",2607
"Edith Aros",2647
"Amparo Baeza",2637
"Claudia Luxardo",2678
"Amparo Baeza",2704
"Javiera Kovacevic",2706
"Daniela López",2715
"Corina García",2740
"Julia Morau",2744
"Antonia Herrera",2785
"Nicole Blanc",2788
"Raúl Azócar",2827
"Paloma Sánchez",2833
"Olivier Laberge",2836
"Mayra Castro",2837
"Gustavo Daza",2837
"María de los Ángeles Cabezas",2851
"Carlos Garrido",2861
"Galut Alarcón",2869
"Hugo Tripodi",2870
"Sebastián Accorsi",2853
"Yuruaní Rodríguez",2853
"Amparo Baeza",2914
"Constanza Mutis",2916
"Sebastián Escalona",3000
"Sebastián Muñoz",3009
"Estefanía Larraín",3011
"Marcela Urivi",3010
"Daniela López",3022
"Sebastián Olivarí",3079
"Gustavo Acevedo",3100
"Clara Notari",3120
"Amparo Baeza",3123
"Barbara Perelman ",3126
"Nicolás Arze",3150
"Angela Torti",3164
"Fernando Alé",3172
"Marichi Palacios",3172
"Elisa Hormazábal",3203
"Estefanía Larraín",3321
"Felipe Villanueva",3428
"Manuel Venegas Chaparro",3582
"Inga Rojas Gornall",3582
"Nicolás Oyarce",2243
