"nombre_personaje","pelicula_id"
"Alejandro Lagos",48
"Francesc Morales",50
"Guillermo Pérez",50
"Elisa García",51
"Claudia Bravo",52
"María José Droguett",55
"Denis Leyton",61
"María José Droguett",62
"Juan Francisco Rosas",63
"Gabriela Sobarzo",66
"Rosario Onetto",70
"Paula del Fierro",64
"Fernanda Aljaro",75
"Rodrigo Toro",123
"Francisco Schultz",123
"María José Droguett",125
"Nely Reguera",126
"Pablo Olivera",126
"Rosario Onetto",127
"Rosario Onetto",130
"Claudio Sepúlveda",132
"Paulo Valdéz",135
"Daniel Segal",137
"Carles Valero",139
"Denise Borberg",140
"Luis Cociña",140
"Liu Marino",140
"Rosario Onetto",140
"María José Droguett",141
"María José Droguett",145
"María José Droguett",147
"Sergio de León",148
"Diego Ferrando",148
"Federico Grampin",148
"Pablo Pinto Giraud",150
"Waldo Salgado",152
"Waldo Salgado",244
"Dominga Ortúzar",253
"Pachi Bustos",321
"Consuelo Castillo",321
"Claudia Barril",324
"Alejandro Gómez",358
"Juan Manuel Fernández",358
"Luis Román",358
"Chepo Sepúlveda",780
"Eduardo Pacheco",791
"Cristóbal Vicente",786
"Waldo Salgado",898
"María José Droguett",898
"Cristián Louit",1050
"María José Droguett",778
"Alejandro Lagos",1382
"Roberto Salomone",1382
"Oscar Godoy",245
"Aroldo Muñoz",1179
"Julio Jorquera",1379
"Chepo Sepúlveda",1667
"José Luis Torres Leiva",791
"Gabriela Sobarzo",791
"Pablo Stephens",1837
"José Luis Canales",1770
"Nicole Barrios",1846
"Cristian Donoso",1846
"Gabriela Sobarzo",2013
"Liu Marino",2013
"Juan Andrés Fontán",2037
"Israel Pimentel Bustamante",1395
"Alvaro Cabello",2048
"Roberto Urzua",1205
"Nicolas Bórquez",1205
"Pedro Sepúlveda",1205
"Oscar Godoy",2094
"Waldo Salgado",2094
"Javier Correa",2273
"Felipe Elgueta",2340
"Ciro Scognamiglio",2168
"Andrea Piazza",2168
"Leonardo Valsecchi",1386
"Manuela Delpiano",2377
"María José San Martín",1377
"Claudia Sepúlveda",2421
"Loreto Contreras",1192
"Nicol Ruiz ",2483
"Juan Pablo Echeverría",2108
"Karin López",2607
"Sebastián Roblero",2607
"Constanza Hevia",2647
"Cristian Donoso",2647
"José Ignacio Morales",2678
"Claudio Soto Lizama",2706
"Iñaki Fernandois",2706
"Elisa Eliash",2403
"Catalina Alarcón",2741
"Nicol Ruiz ",2827
"Constanza Majluf",2836
"Matías Hidalgo-Silva",2851
"Patrick Leroux",2851
"Marta Loza",2870
"Pablo Quinteros",2916
"Samuel Restucci",2916
"Nicolas Lasnibat",3014
"Juan Diego Spoerer",3126
"Pablo Atienza",3172
"Guillermo Briones Basoalto",3172
"Constanza Majluf",3172
"Ébana Garín",3022
"Alberto Alen",3203
"Romina Perazzo",2899
"Constanza Hevia",2870
"Constanza Hevia",2520
"Oscar Godoy",2520
"Constanza Torres Quiroz",3428
"Paloma González",2243
"Cecilia Valencia",2243
