"nombre_personaje","pelicula_id"
"Claroscuro",48
"Fábula",49
"Pueblo Cine",49
"Sleepy Giant Entertainment (USA)",50
"Chile Films",50
"Octubre Cine y TV",51
"Televisión Nacional de Chile (TVN)",51
"Cinembargo Comunicaciones Cine Televisión",52
"Jirafa films",53
"Terranova Producciones",54
"Fábula",55
"Luis R. Vera Producciones E.I.R.L.",56
"Inca Cine S.A.C. (Perú)",56
"Pueblo Cine",59
"Chilechitá",60
"Allegro Films",61
"Fábula",62
"Mandrill Films",63
"Chilechitá",63
"Horamágica",64
"Producciones Audiovisuales Caco Ltda.",66
"El Asombro",66
"Horamágica",70
"Divine Productions",70
"Zoofilmes",64
"Bixo",64
"Ceneca Producciones",75
"CMW Films (Alemania)",75
"Amerindia Films",90
"Jiménez Navarro Ltda.",94
"Azul Films",108
"VPCCinema Produçoes Artisticas (Brasil)",108
"Parox S.A.",70
"Angel Films Producciones S.A.",114
"Aplaplac",123
"Chilechitá",125
"Lado Izquierdo",125
"CINE XXI",125
"Creative Content Producciones ",126
"Charivari Films",127
"Jirafa films",127
"Rommel Film",127
"Suricato",128
"Margo Films",128
"Lapsus Producciones",130
"Alce Producciones Ltda.",130
"Mandrill Films",132
"Delirio Films",135
"Perut + Osnovikoff",136
"Axis Asociati",136
"Arcoiris",136
"Parox S.A.",136
"Digital Barcelona Film Festival",139
"M.O.M. Produccions",139
"Sahara Films Producciones S.A. ",140
"Cinecorp Ltda. ",140
"Bastidas",140
"Fábula",141
"Prodigital (Brasil)",141
"Sincronía Film",144
"Agosin Films",145
"Wood Producciones S.A",147
"DB cine (Argentina)",147
"Tornasol Films (España)",147
"UK Films (Reina Unido)",147
"Chile Films",147
"Guazú Media",148
"Morocha Films (Argentina)",148
"Sur Films",148
"Parox S.A.",148
"Sudaka Films",149
"Retaguardia Films",152
"14 Pies (España)",152
"Jirafa films",152
"Zoofilmes",152
"Piranha Films",154
"Coquimbo Filmes producciones Ltda.",157
"La Ventura",242
"Retaguardia Films",244
"Jirafa films",244
"Roos Films",244
"Filmes Fundo",244
"Jazz Films",253
"Panamax Films",253
"Punk on Palta Producciones",274
"Icalma films",289
"Valparaíso productions",289
"Panchito Films",262
"Zona Cinema",297
"Parábola",299
"Sobras Producciones",299
"Les Films d’Ici",321
"Parox S.A.",321
"Les Films de la Passarelle (Belgica)",321
"Love Streams",321
"Agnes B.",321
"Las Películas del Pez",324
"La Aventura",339
"Perut + Osnovikoff",343
"Pozzola Producciones",344
"Rates Soriano Ltda.",345
"Imval Producciones (España)",345
"Películas Plot",358
"Filamento Films",358
"De la Sotta Films",603
"Artuffo Films",603
"Jirafa films",635
"Zoofilmes",635
"Wood Producciones S.A",641
"Todo por las niñas",731
"Cinedirecto Producciones",731
"Fábula",778
"Ceneca Producciones",779
"El Desierto Filmes Ltda.",849
"Atacama Producciones",786
"Blinker Filmproduktion & WDR (Alemania)",786
"Cronomedia",786
"Fábula",870
"Aplaplac",890
"Les Films d’Ici",890
"Instituto Cubano del Arte e Industrias Cinematográficas (ICAIC)",890
"Promocine",949
"L90 Cine Digital",635
"El Buen Tiempo",635
"L90 Cine Digital",297
