"nombre_personaje","pelicula_id"
"Filmosonido",56
"Cinesur",56
"Trinacrio Ltda.",56
"Nicolás Boetsch",62
"Tomás Dittborn",62
"Ricardo Fernández",62
"José Marcelo Salas",63
"Jorge Abud",63
"Retaguardia Films",64
"Stephan Herzog",75
"Juan Alberto Fernandez",61
"Francisco Nilo",61
"José Beltrán",61
"Mauricio Malbrán",61
"Rodrigo Vera",61
"Rodolfo Martínez",61
"Francisco Escandón",61
"Eduardo Vicuña",61
"Sergio del Campo",61
"Joaquín Cornejo",61
"Omar Reyes",61
"Carlos Villant",61
"Jaime Valenzuela",61
"Jorge Zúñiga",61
"Felipe Barriga",61
"Rodrigo Silva",61
"Cristián Salazar",61
"Andrés Rillón",61
"Cristián de la Fuente",108
"Alen Cine",108
"Cristina Littin",108
"Sergio Gándara",70
"Eduardo Lobos",70
"Chile Films",125
"Macarena Concha",128
"Vértigo",130
"Zoofilmes",130
"Cinesur",130
"Jirafa films",130
"Goliat Films",145
"Arauco Films",242
"Faune Producciones",242
"Zoofilmes",244
"MC Films",244
"Soco Aguilar",253
"Jorge Cardemil",253
"Raul Daniño",253
"Paul Furst",253
"José Antonio Graces",253
"Heriberto Urzúa",253
"Alvaro Corvera",297
"Sergio Gándara",321
"Serge Lalou",321
"Christine Terrier",321
"Sophie De Hijes",321
"Richard Meza",358
"Gina Ortega",358
"María Lourdes Cortés",358
"César Caro Brown",358
"Javier Valdivia",358
"UNIACC",361
"Silvio Caiozzi",361
"Canal 13",641
"Canal Arte (Francia)",641
"Carlos Anaya",780
"Pablo Courard",780
"Felipe Lira",898
"Diego Valenzuela",1170
"Los Tres Mosqueteros",782
"Étienne Mallet",1378
"David Gauquié",1378
"Julien Deris",1378
"Nicolás Lesage ",1378
"Brian Jacobs ",1664
"Carlos Garriga",1667
"Carlos Hansen",1667
"Chepo Sepúlveda",1667
"Pablo Courard",1667
"Ben Odell",1667
"Raphael Bottino",1837
"Rodrigo Muñoz Cazaux",1846
"Francisco Valderrama",1846
"François Margolin",2048
"Ilan Numhauser",2292
"Iñaki Fernandois",2292
"Martín Cárcamo",2377
"Oliver Röpke",1377
"Mariana Loyola",2566
"Matías Cardone",2637
"Macarena Cardone",2637
"Macarena Concha",2637
"Carlos Hansen",2706
"Mario Velasco C.",2738
"Mauro Arrau",3010
"Eduardo Villalobos",2899
"Nicole Pérez L.",2899
