"nombre_personaje","pelicula_id"
"Cristián Lecaros",48
"Rodrigo Duque",48
"Roberto Artiagoitía",49
"Jorge Olguín",50
"Tatiana Gaviola",51
"Joaquín Eyzaguirre",52
"Daniel Benavides",53
"Alberto Daiber",54
"Sebastián Silva",55
"Luis R. Vera",56
"Roberto Artiagoitía",59
"Boris Quercia",60
"Alfonso Gazitúa",61
"Pablo Larraín",62
"Ernesto Díaz",63
"Sebastián Lelio",64
"Rodrigo Sepúlveda",66
"Sebastián Lelio",70
"Matías Bize",75
"Gustavo Letelier",90
"Víctor Jiménez Atkin",94
"Miguel Littin",108
"Jorge Olguín",114
"Pedro Peirano",123
"Álvaro Díaz",123
"Ricardo Larraín",125
"Shawn Garry",126
"José Luis Torres Leiva",127
"Valeria Sarmiento",128
"Sebastián Arrau",130
"Ernesto Díaz",132
"Cristián Galaz",135
"Andrea Ugalde",135
"Bettina Perut",136
"Iván Osnovikoff",136
"Nicolás López",137
"Matías Bize",139
"Gonzalo Justiniano",140
"Pablo Larraín",141
"Fernando Valenzuela Quinteros",144
"Shai Agosin",145
"Andrés Wood",147
"Esteban Schroeder",148
"Hernán Caffiero",149
"Emilio Pacull",150
"Andrés Waissbluth",152
"Esteban Larraín",154
"Fernanda Aljaro",157
"Felipe del Río",157
"Alicia Scherson",242
"Cristián Jiménez",244
"Alejandro Fernández Almendras",245
"Rodrigo Ortúzar",253
"Francisco Hervé",262
"Che Sandoval",274
"Marcela Said Cares",289
"Jean de Certeau",289
"Francisca Fuenzalida",297
"Coca Gómez",299
"Carmen Castillo",321
"Sebastián Moreno",324
"José Luis Torres Leiva",339
"Bettina Perut",343
"Iván Osnovikoff",343
"Juan Ignacio Sabatini",344
"Daniel Henríquez",345
"César Caro",358
"Edgardo Viereck",361
"Lorena Giachino Torréns",396
"Andrés Racz",397
"Cristián Sánchez G.",482
"Nicanor de la Sotta",603
"Christopher Murray",635
"Pablo Carrera",635
"María Elena Wood",641
"Germán Berger-Hertz",731
"José Luis Sepúlveda",753
"Carolina Adriazola",753
"Pablo Larraín",778
"Matías Bize",779
"Nicolás López",780
"Sebastián Silva",781
"Pablo Illanes",782
"Edgardo Viereck",783
"Iván Osnovikoff",785
"Bettina Perut",785
"Patricio Guzmán",786
"José Luis Guridi",787
"José Luis Guridi",788
"Juan Ignacio Sabatini",789
"Juan Pablo Sallato",789
"Ismael Larraín",789
"Niles Atallah",791
"Pablo Perelman",792
"Jorge Durán",849
"Marialy Rivas",870
"Lorenzo Moscia",888
"Macarena Aguiló",890
"Matías Lira",898
"Nicolás Acuña",949
"Susana Foxley",890
"Paula Leovendagar",1050
"Julio Jorquera",1098
"Pedro Peirano",781
"Sergio Castro San Martín",1170
"Elena Varela",1171
"Camilo Becerra",1176
"Nayra Illic",1179
"Lorena Giachino Torréns",1192
"Carla Valencia Dávila",1200
"Elisa Eliash",1205
"Bernardo Palau",1236
"Luis R. Vera",1261
"Carmen Castillo",1344
"Esteban Larraín",1377
"Cristián Jiménez",1378
"Andrés Wood",1379
"Sebastián Lelio",1380
"Diego Rougier",1382
"Matías Cruz",1386
"Claudio del Valle",1390
"Oscar Godoy",1391
"Marcela Said Cares",1392
"Jean de Certeau",1392
"Sebastián Brahm",1393
"Maite Alberdi",1395
"Constanza Fernández Bertrand",1429
"Alejandro Fernández Almendras",1496
"José Luis Torres Leiva",1497
"María Elena Wood",1551
"María Paz González",1664
"Nicolás López",1667
"Constanza Fernández Bertrand",1690
"Gonzalo Justiniano",1709
"Santiago Elordi",1717
"Ana María Hurtado",1753
