"nombre_personaje","pelicula_id"
"Enrique Stindt",48
"Sergio Armstrong ",49
"Juan Carpintero",50
"Juan Carlos Bustamante",51
"David Bravo",52
"Manuel Barrera",53
"Jorge Avalos",54
"Sergio Armstrong ",55
"Alfredo García",56
"Antonio Quercia",59
"Antonio Quercia",60
"Álvaro Cortés",61
"Miguel Ioan Littin",62
"Víctor Jiménez Atkin",63
"Gabriel Díaz",64
"Esteban Courtalón",66
"Benjamín Echazarreta",70
"Gabriel Díaz",75
"Cristián Castro",75
"Raúl Heuty",90
"Víctor Jiménez Atkin",94
"Robin Westcott",94
"Miguel Ioan Littin",108
"José Luis Arredondo",114
"Miguel Ioan Littin",123
"Esteban Courtalón",125
"Pau Monràs",126
"Inti Briones",127
"Acacio de Almeida",128
"Ricardo de Angelis",130
"Nicolás Ibieta",132
"David Bravo",135
"Pablo Valdés",136
"Chechu Graf",137
"Gabriel Díaz",139
"Andrés Garretón",140
"Sergio Armstrong ",141
"Cristián Lorca",144
"Ignacio Prieto",145
"Miguel Ioan Littin",147
"Sergio Armstrong ",148
"Luis Hidalgo",149
"Pascal Ridao",150
"Ralf Oberti",150
"Inti Briones",152
"Juan Pablo Urioste",154
"Andrés Garcés",157
"Ricardo de Angelis",242
"Inti Briones",244
"Inti Briones",245
"Juan Carlos Bustamante",253
"David Bravo",262
"Sebastián Moreno",262
"Pablo Insunza",262
"María Paz González",262
"Francisco Hervé",262
"Felipe Bello",274
"Sebastián Moreno",289
"Pablo Salas",289
"Jean de Certeau",289
"Andres Silvart",289
"Marcela Said Cares",289
"Pablo Letelier",297
"Caco Correa",299
"Ned Burgess",321
"Sebastián Moreno",321
"Arnaldo Rodríguez",321
"Raphael O'Byrne",321
"David Bravo",324
"Sebastián Moreno",324
"Francisco Schultz",339
"Pablo Valdés",343
"Juan Cristóbal Hurtado",344
"Arnaldo Rodríguez",345
"Ana Lucía Jiménez",358
"José Luis Arredondo",361
"Pablo Valdés",396
"Inti Briones",397
"Raúl Heuty",482
"Esteban Artuffo",603
"Raúl Heuty",635
"Miguel Ioan Littin",731
"Sergio Armstrong ",778
"Barbara Álvarez",779
"Antonio Quercia",780
"Jorge Calderón",788
"Niles Atallah",791
"Luis Abramo",849
"Katell Djian",786
"Lorenzo Moscia",888
"Arnaldo Rodríguez",890
"Miguel Ioan Littin",898
"Arnaldo Rodríguez",949
"Felipe Sepúlveda",1050
"Cristián Louit",1050
"Sergio Armstrong ",1098
"Sergio Armstrong ",1170
"Andrés Urrutia",1171
"Marco Roldán Rojas",1176
"Tomás Yovane",1179
"Nicolás Canobra",1179
"Freddie Hayes",1171
"José Luis Arredondo",783
"Diego Pequeño",1170
"José Luis Sepúlveda",753
"Alfredo García",1261
"Ned Burgess",1344
"David Bravo",1382
"Pablo Letelier",1390
"Inti Briones",1391
"Arnaldo Rodríguez",1392
"Sergei Saldivar Kanaka",792
"Pablo Valdés",785
"Sergio Armstrong ",781
"Benjamín Echazarreta",1393
"Pablo Valdés",1395
"Guillermo Escalona",1429
"Inti Briones",1378
"Daniel Andrade",1200
"Diego Falconí",1200
"Gabriel Díaz",1551
"David Bravo",1664
"Miguel Ioan Littin",1379
"Cristobal Portaluppi",1690
"Tomás Yovane",1690
"Miguel Ioan Littin",1380
"Miguel Bunster",1709
"Inti Briones",1497
"Antonio Quercia",1667
"Cristián Petit-Laurent",1717
"Miguel Cuitiño",1753
"Sergio Armstrong ",1769
"Andrés Jordán",1770
"Inti Briones",1496
"Paco Toledo",1811
"Gabriel del Carril",1837
"Andrés Gallegos",1846
"Sergio Armstrong ",1982
"Philippe Rippes",1991
"Barbara Álvarez",2013
"Santiago Epstein",2037
"Diego Velazco",2037
"Inti Briones",2048
"Alex Leyton",2038
"Barbara Álvarez",2053
"Tatiana Lorca",2054
"Hernán Silva",2054
"Florencia Larrea",1205
"Mauricio García",2054
"David Bravo",2054
"Mirko Zlatar",2108
"Tevo Díaz",2108
"Andrés Garcés",2109
"Sergio Armstrong ",2094
"Carlos Klein",2134
"Denis Arqueros",2135
"Andrés Garcés",2156
"Ricardo de Angelis",2168
"Antonio Quercia",2169
"Enrique Stindt",2172
"Enrique Warnken",2211
"Sergio Armstrong ",2218
"Mirko Zlatar",1386
"Cristián Soto",2224
"Pablo Valdés",2242
"Eduardo Cruz Coke",2242
"Nicolás Ibieta",2243
"Eduardo Bunster",2254
"Arnaldo Rodríguez",2254
"Andrés Garcés",2273
"Miguel Bunster",2080
"Juan Carlos Bustamante",2080
"Matías Searle",2292
"Pablo Berthelon",2335
"Sol Hormazábal",2340
"Diego Pequeño",2347
"Benjamín Echazarreta",2377
"Cristián Petit-Laurent",2381
"Tevo Díaz",1377
"Eduardo Bunster",2403
"Eduardo Cruz Coke",2421
"Pablo Insunza",2421
"Pablo Valdés",1192
"Inti Briones",2475
"Francisco Jullián",2483
"Benjamín Echazarreta",2520
"Inti Briones",2525
"Cristián Soto",2525
"Niles Atallah",2525
"José Luis Torres Leiva",2525
"Gabriel del Carril",2562
"Alberto D. Centeno",2563
"Sergio Armstrong ",2564
"Cristóbal Cvitanic",2566
"Arnaldo Rodríguez",2580
"Inti Briones",2588
"Gabriela Larraín",2603
"Victoria Jensen",2607
"Diego Gómez",2607
"Sebastián Caro",2609
"Marcelo Ubilla",2609
"Juan Carlos Bustamante",2637
"Ignacio González",2678
"Miguel Bunster",2704
"Inti Briones",2715
"Pedro Micelli",2738
"Raúl Heuty",2740
"Adolfo Mesías",2741
"Jeremy Hatcher",2741
"Victoria Jensen",2741
"Diego Lazo",2741
"Cristian Sepúlveda",2744
"pitu.the.beat.",2760
"Valeria Hofmann",2741
"Sebastián Lelio",2781
"Luis Abramo",2788
"Miguel Bunster",2827
"Antonio Quercia",2835
"Inti Briones",2836
"Eduardo Bunster",2837
"Francisco Misle",2851
"Cristián Petit-Laurent",2853
"José Luis Arredondo",2861
"Pedro Micelli",2869
"Jorge Aguilar",2869
"Luis Rebolledo",2869
"Diego Poleri",2870
"Nicolás Ibieta",2876
"Richard Salgado",2877
"Nicolás Ibieta",2885
"Enrique Stindt",2833
"Pablo Valdés",2897
"Jorge Yacoman",2899
"Pablo Valdés",2900
