"nombre_personaje","pelicula_id"
"Paz Bascuñán",48
"César Sepúlveda",48
"Leonardo Ortigris",48
"Sandra Rusch",48
"Andrés Gómez",48
"Loreto Lustig",48
"Benjamín Vicuña",49
"Fernando Farías",49
"Patricia López",49
"Fernando Godoy",49
"Claudia Burr",49
"Héctor Morales",49
"Mónica Godoy",49
"Isidora Cabezón",49
"Francisco Celhay",49
"María Cristina Peña y Lillo",49
"Matías Oviedo",49
"Camille Lynch",50
"Carolina Andrade",50
"Cristóbal Barra",50
"Karina Pizarro",50
"Rosa Luz Ramos",50
"Nicolás López",50
"Carina Vera",50
"Jorge Yaber",50
"Martín Morales",50
"Patricia López",50
"Mónica Carrasco",50
"Juan Pablo Bastidas",50
"Jenny Cavallo",50
"Yerko Farías",50
"Nicolás Martínez",50
"Francisca Lewin",51
"Diego Casanueva",51
"Juan Pablo Ogalde",51
"Alvaro Espinoza",51
"Catalina Guerra",51
"Edgardo Bruna",51
"Tomás Vidiella",51
"Roxana Campos",51
"Matías Oviedo",51
"Elsa Poblete",51
"Amparo Noguera",52
"Tamara Acosta",52
"Paulina García",52
"Daniel Muñoz",52
"Alfredo Castro",52
"Daniela Lhorente",52
"Luz Valdivieso",52
"Francisca Eyzaguirre",52
"Luis Gnecco",52
"Claudio Arredondo",52
"Alvaro Espinoza",52
"Andrés Eyzaguirre",52
"Luis Bravo",52
"Claudio Valenzuela",52
"Pilar Loyola",53
"Esteban Arjel",53
"Rodrigo González",53
"Samuel González",53
"Ignacio Mansilla",53
"Valentina Pedreros",53
"Francis De Luco",54
"Karla Matta",54
"Giselle Clark",54
"El Kontador",54
"Pablo Solar",54
"Sofía García",54
"Norman Briski",54
"Gabriel Díaz",55
"Diego Muñoz",55
"Bélgica Castro",55
"Catalina Saavedra",55
"Claudia Celedón",55
"Amparo Noguera",55
"Alejandro Sieveking",55
"Adela Secall",56
"Marcela Osorio",56
"Nelson Brodt",56
"Patricio Contreras",56
"Tatiana Astengo",56
"Daniel Muñoz",56
"Sergio Hernández",56
"Tiago Correa",56
"Katty Kowaleczko",56
"Fernando Larraín",56
"Rosa Ramírez",56
"Maricarmen Arrigorriaga",56
"Jorge Gajardo",56
"Mónica Carrasco",56
"Roxana Campos",56
"Marés González",56
"Carmen Gutiérrez",56
"Manuela Martelli",59
"Daniel Muñoz",59
