"nombre_personaje","pelicula_id"
"Cristián Lecaros",48
"Rodrigo Duque",48
"Roberto Artiagoitía",49
"Mateo Iribarren",49
"Sebastián Sepúlveda",49
"Jorge Olguín",50
"Carolina García",50
"Bernardita Puga",51
"Tatiana Gaviola",51
"Gonzalo San Martín",52
"Cynthia Rimsky",52
"Daniel Benavides",53
"Alberto Daiber",54
"Juan Pablo Lazo",54
"Sebastián Silva",55
"Pedro Peirano",55
"Luis R. Vera",56
"Roberto Artiagoitía",59
"Pablo Illanes",59
"Boris Quercia",60
"Alfonso Gazitúa",61
"Christian Morales",61
"Mateo Iribarren",62
"Pablo Larraín",62
"Hernán Rodríguez",62
"Ernesto Díaz",63
"Sebastián Lelio",64
"Rodrigo Sepúlveda",66
"Sebastián Lelio",70
"Gonzalo Maza",70
"Julio Rojas",75
"Gustavo Letelier",90
"Maximiliano Meneses",90
"Víctor Jiménez Atkin",94
"María Eugenia Navarro",94
"Miguel Littin",108
"Carolina García",114
"Jorge Olguín",114
"Álvaro Díaz",123
"Pedro Peirano",123
"Daniel Castro",123
"Rodrigo Salinas",123
"Boris Quercia",125
"Trinidad Jiménez",126
"José Luis Torres Leiva",127
"Raúl Ruiz",128
"Sebastián Arrau",130
"Fernando Aragón",130
"Ernesto Díaz",132
"Cristián Galaz",135
"Andrea Ugalde",135
"Nicolás López",137
"Matías Cornejo",139
"Matías Bize",139
"Rodrigo Bastidas",140
"Gonzalo Justiniano",140
"Pablo Larraín",141
"Alfredo Castro",141
"Mateo Iribarren",141
"Fernando Valenzuela Quinteros",144
"Roberto Brodsky",145
"Mamoun Hassan",147
"Rodrigo Bazaes",147
"Andrés Wood",147
"Pablo Vierci",148
"Alejandra Marino",148
"Daniel Henríquez",148
"Hernán Caffiero",149
"Emilio Pacull",150
"Nora Fernández",152
"Marcelo Leonart",152
"Cristián Jiménez",152
"Andrés Waissbluth",152
"Esteban Larraín",154
"Felipe Villanueva",157
"Alicia Scherson",242
"Cristián Jiménez",244
"Alicia Scherson",244
"Alejandro Fernández Almendras",245
"Julio Rojas",253
"Paula del Fierro",253
"Sebastián Brahm",262
"Pablo Leighton",262
"Francisco Hervé",262
"Che Sandoval",274
"Marcela Said Cares",289
"Jean de Certeau",289
"Francisca Fuenzalida",297
"Coca Gómez",299
"Carmen Castillo",321
"Claudia Barril",324
"Nora Fernández",324
"Sebastián Moreno",324
"José Luis Torres Leiva",339
"Bettina Perut",343
"Iván Osnovikoff",343
"Galut Alarcón",344
"Juan Ignacio Sabatini",344
"Daniel Henríquez",345
"César Caro",358
"Isabel Troncoso",361
"Edgardo Viereck",361
"Lorena Giachino Torréns",396
"Diamela Eltit",397
"Malú Urriola",397
"Alejandro Goic",397
"Cristóbal Olivares",397
"Cristián Sánchez G.",482
"Nicanor de la Sotta",603
"Pablo Carrera",635
"Christopher Murray",635
"Germán Berger-Hertz",731
"Joaquim Jordá",731
"Roberto Brodsky",731
"Pablo Larraín",778
"Mateo Iribarren",778
"Matías Bize",779
"Julio Rojas",779
"Nicolás López",780
"Sebastián Silva",781
"Pedro Peirano",781
"Pablo Illanes",782
"Sebastián Badilla",787
"Galut Alarcón",789
"Niles Atallah",791
"Jorge Durán",849
"Dani Patarra",849
"Patricio Guzmán",786
"Marialy Rivas",870
"Rodrigo Bellot",870
"Lorenzo Moscia",888
"Macarena Aguiló",890
"Matías Lira",898
"Sebastián Arrau",898
"Daniel Pizarro",949
"Susana Foxley",890
"Paula Leovendagar",1050
"Julio Jorquera",1098
"Sergio Castro San Martín",1170
"Marisol García",1170
