"nombre_personaje","pelicula_id"
"Pablo Kohler",48
"Ruth Orellana",49
"Eduardo Castro",70
"Daniela González",75
"Constanza Duclos",61
"Julio Jorquera",108
"Karla Estrada",123
"Bruno Bettati",130
"Ruth Orellana",141
"Eduardo Castro",147
"Mirtha Molina",148
"Eduardo Castro",157
"Bruno Bettati",244
"Fernando Hubbe",253
"María Paz González",262
"Juan Pablo Olivares",297
"Eduardo Lobos",321
"Soledad Santelices",635
"Lizzy Becker",780
"Paola Cano",788
"Patricia Pardo",949
"Andrés Guiloff",1050
"Ruth Orellana",778
"Hernán Cheyre Triat",1176
"Daniel Aguilera",783
"Cake Ibarra",782
"Pablo Sierralta",1179
"Ruth Orellana",1379
"Matías Muñoz Rodríguez",1690
"Javier Pradenas",1380
"Viviana Lobos",1497
"Paola Zoccola",1667
"Macarena López",1393
"Edgardo Retamal",1837
"Ruth Orellana",1391
"Carola Carter",870
"Ely Fenner",2013
"Eduardo Castro",1982
"Mario Jacob",2037
"Emilio Ormazábal",2048
"Paula Talloni",2054
"Tatiana Lorca",2054
"Eduardo Robles",2108
"Adela Cofré",2108
"Eduardo Castro",2094
"Carolina Castillo",2221
"Susana Tello",2254
"Mauricio Dupuis",2080
"Valentina Castro",2292
"Eduardo Lobos",2273
"Franco Valsecchi",1386
"Enrique Lerman",1377
"Marcela Morilla",2421
"Marcela Morilla",1192
"Felipe Balbontin ",2483
"Paulina Murillo",2607
"José Luis Rivas",2637
"Wilson Quezada",2678
"Alejandro Lillo",2678
"Anita Lira",2706
"Abner Hurtado",2738
"Sebastián Araya",2740
"Macarena Baeza",2403
"María Paz Eberhard",2760
"Francisca Barraza",2741
"Hugo Espinoza",2347
"Pablo Pinto",2827
"José Luis Rivas",2836
"Daniela Ramírez",2851
"María Paz Calvo",2851
"Paulina Aguilar",2861
"Vicente Carrasco",2861
"Viviana Erpel",2869
"Viviana Lobos",2870
"Erik Aeshlimann",3000
"Eduardo Castro",3011
"Viviana Erpel",3085
"Franco Valsecchi",3164
"Fernando Alé",3203
"Alberto Serrano Fillol",3309
"Eduardo Castro",3321
"Inga Rojas Gornall",3582
"Guillermo Prieto",2243
