"nombre_personaje","pelicula_id"
"Constanza Polanco",48
"María de los Ángeles Varela",48
"Guadalupe Correa",49
"Mauricio Castañeda",52
"Martin Seltzer",52
"Constanza Racz",56
"Joan Rosenfeld",56
"Paula Yolin",61
"Dora Roldán",62
"Carola Lizana",63
"Mercedes Marambio",75
"Guadalupe Correa",108
"Pamela Pollak",126
"Amparo Aguirre",127
"Carla Gasic",132
"Amparo Aguirre",135
"Carola Lizana",137
"Neldi Funes",140
"Amparo Aguirre",145
"Claudia González",148
"Mercedes Marambio",253
"Felipe Figueroa",780
"Margarita Marchi",778
"Dennise Hilliard",783
"Olga Constanzo",783
"Loredana González",1382
"Paz Retamal",787
"Guadalupe Correa",1379
"Felipe Figueroa",1667
"Magdalena Bello",1846
"Camila Valencia",1846
"Simone Weber",1846
"Valentina Groferi",870
"Clara Farto",2048
"Alejandra Valdebenito",1377
"Carolina Grove ",2483
"Carola Garrido",2647
"Angela Ríos",2678
"Carolina Grove ",2706
"Carolina Grove ",2851
"Pamela Pollak",137
"Pamela Pollak",2013
"Pamela Pollak",2475
"Pamela Pollak",1393
"Fabián Torres",3428
