"nombre_personaje","pelicula_id"
"Paula Cortés",48
"Cristián Lecaros",48
"Rodrigo Duque",48
"Carolina Quevedo",49
"Jorge Olguín",50
"Guillermo Pérez",50
"Andrés Lehuedé",51
"Sophie França",52
"Ilán Stehberg",53
"Daniel Benavides",53
"Juan Pablo Lazo",54
"Danielle Fillios",55
"Carlos Ruz",56
"Luis R. Vera",56
"Danielle Fillios",59
"Danielle Fillios",60
"Diego Macho",60
"Soledad Salfate",61
"Fernando Valenzuela Quinteros",62
"Ernesto Díaz",63
"Sebastián Lelio",64
"Soledad Salfate",66
"Sebastián Lelio",70
"Soledad Salfate",70
"Paula Talloni",75
"Gustavo Letelier",90
"Carolina Siraqyan",90
"Víctor Jiménez Atkin",94
"Andrea Yaconi",108
"Jorge Olguín",114
"Galut Alarcón",123
"Felipe Lacerda",123
"Danielle Fillios",125
"Francesc Sitges",126
"Ilán Stehberg",127
"José Luis Torres Leiva",127
"Beatrice Clerico",128
"Soledad Salfate",130
"Ernesto Díaz",132
"Soledad Salfate",135
"Bettina Perut",136
"Iván Osnovikoff",136
"Diego Macho",137
"Sergi Dies",139
"Carolina Quevedo",140
"Andrea Chignoli",141
"Fernando Valenzuela Quinteros",144
"Carlos Puente",145
"Andrea Chignoli",147
"José Pérez",149
"Hernán Caffiero",149
"Claire Atherton",150
"Marcos Hervera",152
"Felipe Guerrero",154
"Danielle Fillios",157
"Soledad Salfate",242
"Galut Alarcón",244
"Isabela Monteiro de Castro",244
"Alejandro Fernández Almendras",245
"Sebastien de Saint Croi",245
"Danielle Fillios",253
"Marcela Saenz",253
"Sebastián Brahm",262
"Francisco Hervé",262
"Manuela Piña",274
"Che Sandoval",274
"Jean de Certeau",289
"Rodrigo Saquel",297
"Diego Macho",299
"Juan Andrés Condon",299
"Eva Feigeles Aimé",321
"M. Teresa Viera-Gallo Chadwick",324
"José Luis Torres Leiva",339
"Bettina Perut",343
"Iván Osnovikoff",343
"Galut Alarcón",344
"Andrea Chignoli",345
"Juan Manuel Fernández",358
"Danielle Fillios",358
"Martín Hernández",361
"Guillermo Cifuentes",396
"Danielle Fillios",397
"Cristián Sánchez G.",482
"Lucía Pérez",482
"Antonio Luco",635
"Christopher Murray",635
"Pablo Carrera",635
"Galut Alarcón",641
"Andrea Chignoli",731
"Danielle Fillios",731
"Javier Estévez",779
"Diego Macho",780
"José Luis Torres Leiva",791
"Andrea Chignoli",791
"Galut Alarcón",789
"Pedro Durán",849
"Patricio Guzmán",786
"Emmanuelle Joly",786
"Danielle Fillios",870
"Lorenzo Moscia",888
"Juan Cristóbal Hurtado",888
"Cathérine Mabilat",890
"Macarena Aguiló",890
"Ilán Stehberg",890
"Ismael Miranda",890
