"nombre_personaje","pelicula_id"
"Ángel Parra (II)",48
"Carlos Cabezas",49
"Claudio Pérez Herrera",50
"Juan Cristóbal Meza",51
"Andreas Bodenhöfer",52
"Francisco Alarcón",53
"Alfredo Espinoza",54
"Pedro Subercaseaux",55
"Andrés Subercaseaux",55
"Jorge del Campo",55
"Maurice Ravel",56
"Carlos Cabezas",59
"Manuel Riveiro",60
"Miguel Ángel Fuster",60
"Edgardo Cantón",61
"Juan Cristóbal Meza",62
"Rocco",63
"Javiera Parra & Los Imposibles",64
"Ángela Acuña",66
"Diego Fontecilla",75
"Gustavo Letelier",90
"Guido Goñi",75
"Juan Cristóbal Meza",108
"Rodrigo Cuadra",114
"Gamal Eltit",114
"Felipe Lacerda",123
"Angelo Pierattini",123
"Andreas Bodenhöfer",125
"Eduardo Caces",126
"Jorge Arriagada",128
"Cristián Freund",130
"Rocco",132
"Miranda & Tobar",135
"Manuel Riveiro",137
"Diego Fontecilla",139
"Rodrigo Jarque",139
"Cuti Aste",140
"Miranda & Tobar",144
"Gepe",144
"Esteban Agosin",145
"Paul Hernández",145
"Cristián Galarce",145
"Cristián López",145
"José Miguel Tobar",147
"Miguel Miranda",147
"Pebre",152
"Ricardo Santander",154
"Cristóbal Briceño",244
"Los Jaivas",245
"Mauricio Dell",253
"Fernando Milagros",262
"Emilio Bascuñán",274
"Adan Jodorowsky",274
"Jorge Arriagada",289
"Sebastián Jarpa",297
"Manu Riveiro",299
"Juan Carlos Zagal",321
"Manuel García",324
"Silvio Paredes",324
"Sebastián Torres",344
"Jorge Aliaga",345
"José Manuel Gatica",358
"Jorge Aliaga",361
"Camilo Salinas",396
"Ángel Parra (II)",397
"Roberto Retes",603
"Miguel Miranda",731
"José Miguel Tobar",731
"Diego Fontecilla",779
"Camilo Salinas",789
"Juan Antonio Sánchez",789
"José Miguel Tobar",786
"Miguel Miranda",786
"Enrique Icka",888
"Lorenzo Moscia",888
"Manuel Marín",888
"Alexis Rivero",888
"Elizabeth Morris",890
"Cristián Cuturrufo",949
"Gepe",1050
"Patricio Wang",1171
"Hernán Cheyre Triat",1176
"Franco Sanguinetti Mendoza",1176
"Dominique Depret",1179
"Elisa Avendaño",1171
"José Necul",1171
"Jorge Aliaga",783
"André Arancibia",753
"James H. Frazier",782
"Jorge Arriagada",1392
"Julio de la Rosa",792
"Camilo Salinas",1551
"Camilo Salinas",1200
"Caroline Chaspoul",1378
"Eduardo Henríquez",1378
"Fernando Milagros",1664
"Ángel Parra",1379
"Chango Spasiuk",1379
"José Miguel Tobar",1379
"Miguel Miranda",1379
"Ángela Acuña",1690
"Jorge Arriagada",1344
"Jorge Arriagada",1709
"Manuel Riveiro",1667
"Andrés Subercaseaux",1717
"Ángela Acuña",1769
