"premios","pelicula_id"
"<li> Mejor película, Mejor Director, Mejor Montaje, Mejor Música Original, Mejor Interpretación secundaria femenina (Antonia Zegers), Premios Pedro Sienna, 2016.",3011
"<li> Premio Titra a la Distribución , Mejor Film de Ficción, International Film & Television Festival Cinema Tout Ecran, Genova, Italia, 2005.",64
"<li> Mejor Film de Ficción Grand Prix Coup de Cour. FIPRESCI Award. Festival de Cine de Toulouse, Francia, 2006.",64
"<li> Premio Signis, Mejor Film de Ficción, Festival de Cine Independiente de Buenos Aires, Argentina, 2006.",64
"<li> Mejor Montaje, Providence International Film Festival, E.E.U.U., 2006.",64
"<li> Premio Especial del Jurado, Mostra de Leida International Film Festival, España, 2006. ",64
"<li> Mejor Película, Mejor Actriz secundaria, Mejor Montaje, Efectos especiales, mejor maquillaje, Premios Pedro Sienna 2008, Chile.",55
"<li> Mejor actor, Premio Altazor 2008, Chile.",55
"<li> Mejor Actriz, Marcela Osorio, 9° Festival Iberoamericano de Cine de Santa Cruz, Bolivia 2007.",56
"<li> Work in Progress Festival Internacional de Cine de Rotterdam, Países Bajos.",55
"<li> Work in Progress Festival Internacional de Cine de Berlín, Alemania.",55
"<li> Mención Especial 29°  Festival Internacional del Nuevo Cine Latinoamericano de La Habana, Cuba, 2007.",56
"<li> Mejor Director, 22° Festival de Cine Latino Americano de Trieste, Italia 2007.",56
"<li> Premio TVE Cine en Construcción Festival Internacional de Cine San Sebastián, España, 2006.",56
"<li> Mención Especial del Jurado, Premio Pedro Sienna, Chile 2007.",61
"<li> Mejor Largometraje en la Sección “Finestre sul mondo”, Festival Cinema Africano, Asia y América Latina de Milán, Italia, 2007.",61
"<li> Mejor Actriz a María José Pargas, Festival Internacional de Cine de Viña del Mar, Chile, 2006.",61
"<li> Mejor Film de Ficción, Premio a la Distribución. L´Alternative of Barcelona International Film Festival, España, 2005.",64
"<li> Mejor Efectos Especiales, Mejor Dirección de Fotografía, Mejor Montaje, Mejor Música Original, Mejor Dirección de Arte, Premios Pedro Sienna, Chile, 2007.",62
"<li> Premio del Público, Mejor Película Chilena, Festival Caverna Benavides, Lebu, Chile, 2006.",63
"<li> Mejor Maquillaje, Mejor Diseño de Vestuario, Premios Pedro Sienna, Chile 2007.",63
"<li> Mejor Actor Secundario, Festival Internacional de Cine de Viña del Mar, Chile, 2005.",64
"<li> Mejor Actor, Mejor Guión, Premios Pedro Sienna, 2007.",66
"<li> Mejor Guión, Tulipanes Latino Art & Film Festival, USA 2007.",66
"<li> Mejor Guión, 9° Festival Iberoamericano de Cine de Santa Cruz, Bolivia 2007.",66
"<li> Premio Especial de la Juventud de Santa Cruz, 9° Festival Iberoamericano de Cine de Santa Cruz, Bolivia 2007.",66
"<li> Mejor Actor, Jaime Vadell, 47° Festival Internacional de Cine y TV. de Cartagena de Indias , Colombia.  2007.",66
"<li> Premio Sarasvati, 5º Festival Internacional de Cine de Bali, Indonesia, 2007.",66
"<li> Selección Oficial de Chile al GOYA a la Mejor Película de Habla Hispana, Madrid, España 2007.",66
"<li> Selección Oficial de Chile al OSCAR a la Mejor Película Extranjera, Los Ángeles EE.UU 2007.",66
"<li> Selección Oficial de Chile a los Premios Ariel a la Mejor Película Iberoamericana, México 2008.",66
"<li> Mejor Actor, Festival Internacional de Cine de Cartagena, Colombia, 2007.",66
"<li> Mejor Guión, Tercer Coral. Festival del Nuevo Cine Latinoamericano de La Habana Cuba 2005.",75
"<li> Mejor Largometraje, Premio Casa de las Américas, Mejor Largometraje Premio Caminos.",75
"<li> Mejor Película, Mejor Actriz, Festival Internacional de Cine de Viña del Mar, Chile. 2005.",75
"<li> Premio FIPRESCI, Federación Internacional de la Prensa Cinematográfica, Festival Internacional de Cine Festroia de Setúbal, Portugal, 2006.",75
"<li> Premio del Público, Festival Latinoamericano de Cine de Toulouse, Francia, 2006.",75
"<li> Mejor Película Latinoamericana, Festival Internacional de Cine de Montevideo. Uruguay, 2006.",75
"<li> Premio Especial del Jurado, Festival Internacional de Cine de Cartagena, Colombia, 2006.",75
"<li> Mejor Película. Asociación de Críticos Cinematográficos, Festival Cinesul, Río Janeiro, Brasil, 2006.",75
