"nombre_personaje","pelicula_id"
"Pablo Kohler",48
"Diego Valenzuela",49
"Juan de Dios Larraín",49
"Carlos Hansen",49
"Ana María Aguilar",50
"Patricia Navarrete",51
"Jorge Benítez",52
"Carmen Pantoja",52
"Roberto Sancho",53
"Katrin Wuschansky",54
"Priscila Corvetto",54
"Kati Steinert",54
"Juan de Dios Larraín",55
"Pablo Larraín",55
"Luis R. Vera Producciones E.I.R.L.",56
"Diego Valenzuela",59
"Hernán Larraín",62
"Juan de Dios Larraín",62
"Derek Rundell",63
"Marko Zaror",63
"Ernesto Díaz",63
"Brad T. Gottfred",63
"Mike Traa",63
"Úrsula Budnik",64
"María de los Ángeles Ibarra",66
"Gustavo Letelier",90
"Rodrigo Riquelme",90
"María Eugenia Navarro",94
"Adrián Solar",75
"Christoph Meyer-Wiel",75
"Christian Olguín",61
"Magdalena Gissi ",61
"Jorge Infante Silva",108
"Daniel Pantoja",114
"Juan Manuel Egaña",123
"Diego Izquierdo",125
"Mauricio Arriagada",126
"Karina Díaz",126
"Andrea Garry",126
"Christian Aspee",128
"Mauricio Arrau",130
"Derek Rundell",132
"Marko Zaror",132
"Paul Sáenz",135
"Mauricio Sepúlveda",135
"Harriet Milrose",136
"José Manuel Lorenzo",137
"Eduardo Campoy",137
"Elizabeth Avellan",137
"Nicolás López",137
"Javier Valiño",137
"Montse Martí",139
"Oriol Ferrer",139
"Matías Bize",139
"Rodrigo Bastidas",140
"Fernando Saenz",140
"Enrique Arroyo",140
"Juan de Dios Larraín",141
"Eduardo Larraín",144
"Bruno Bettati",145
"Andrés Wood",147
"Mamoun Hassan",147
"Gerardo Herrero",147
"Diego Dubcovsky",147
"Jenny Bousquet",149
"Anita O'Ryan",149
"Hernán Caffiero",149
"Jean Bigot",150
"Bruno Bettati",152
"Esteban Larraín",154
"Elena Hill",154
"Bruno Bettati",244
"Andrés Waissbluth",244
"Miguel Ángel Labarca",244
"Juan J. Harting",244
"Ignacio Eyzaguirre",244
"Pandora da Cunha Telles",244
"Cyriac Auriol",244
"Bruno Bettati",245
"Elise Jalladeu",245
"Adrián Solar",253
"Patricio Lynch",253
"Rodrigo Ortúzar",253
"Jaime Solís",253
"Francisco Hervé",262
"Christine Le Goff",289
"Emmanuelle Koenig",289
"Jorge Triviño",289
"Miguel Asensio",299
"Nicolás López",299
"Coca Gómez",299
"Leonora González",321
"Mary Ann Beausire",321
"Pablo Sierralta",321
"Viviana Erpel",324
"Macarena López",339
"Bettina Perut",343
"Vanessa Zúñiga",343
"Daniel Henríquez",345
"Edgardo Viereck",361
"Macarena Concha",361
"Lorena Blas",396
"Paola Castillo",396
"Felipe Zabala",397
"Andrés Racz",397
"Paulina Ferreti",482
"Felipe Velasco",482
"Nicanor de la Sotta",603
"Esteban Artuffo",603
"Bruno Bettati",635
"Daniel Laguna",635
"Cristián Freund",635
"Alejandra García",641
"Patricio Pereira",641
"Adrián Solar",779
"Miguel Asensio",780
"Nicolás López",780
"Sebastián Badilla",787
"Tomás Macán",789
"Rodrigo Arellano",789
"Tomás Irarrázaval",789
"Sebastián Kohan",789
"Niles Atallah",791
"Francisco Albornoz",791
"Meike Martens",786
"Cristóbal Vicente",786
"Juan de Dios Larraín",870
"Lorenzo Moscia",888
"Juan Manuel Egaña",890
"Macarena Aguiló",890
"Richard Copans",890
"Matías Lira",898
"Juan de Dios Larraín",778
"David Robinson",781
"Kimberly Jose",781
"Sebastián Silva",781
"Dominique Martel",1170
"José Cid",1171
"Camilo Becerra",1176
"Marco Roldán Rojas",1176
"Paula Talloni",1171
"Pablo Stephens",1171
"Alejandra Holzapfel",1171
"Rosita Ayress",1171
"Cristián Opazo",1236
"Bernardo Palau",1236
"Luis R. Vera",1261
"Sergio Trabucco",1261
"Leo Rubin",1261
"David Rodríguez",1261
"Juan Martín Cueva",1261
"Cristian Calónico",1261
"Camilo Vives",1261
"Pamela Robin",1261
"Teresa Saldarriaga",1261
"Marcos Loayza",1261
"Carlos Atkins",1261
"Cristián Castillo",1344
"Bruno Bettati",1378
"Claudio Kreutzberger",1390
"Eduardo Villalobos",245
"Juan de Dios Larraín",1391
"Marcela Said Cares",1392
"Andrés Wood",792
"Teresa Fernández",792
"Berta Navarro",792
"Bettina Perut",785
"Daniela Sandoval",1395
"Constanza Fernández Bertrand",1429
"Alicia Scherson",1497
"Gonzalo Badilla",787
"Alfredo Mora",1200
"Julie Gayet",1378
"Nadia Turincev",1378
"Natacha Cervi",1378
"Hernán Musaluppi",1378
"Marco Díaz",1179
"Flor Rubina",1664
"María Paz González",1664
"Francisco Hervé",1664
"Juan de Dios Larraín",1380
"Pablo Larraín",1380
"Gonzalo Maza",1380
"Gonzalo Justiniano",1709
"Daniel de la Vega",1709
"Caspar Arnhold",1709
"Miguel Asensio",1667
"Matías Cardone",1717
"José Luis Torres Leiva",791
"Gabriela Sobarzo",791
"Ana María Hurtado",1753
"Macarena Cardone",1769
"Macarena Concha",1769
"Matías Cardone",1769
"Karen Meyer",1769
"Ana Perera",1770
"Pablo Basulto",1811
"Francisca Hermosilla",1811
"Pablo Larraín",1391
"Hernán Musaluppi",1391
"Juan de Dios Larraín",1982
"Pablo Larraín",1982
"Pablo Larraín",870
"Francesc Morales",2038
"Camilo Klein",2038
"Jorge Gaete",2038
"Karla Estrada",1395
"Christian Aspee",2048
"Catherine Mazoyer",2038
"Adrián Solar",2053
"Juan de Dios Larraín",2094
"Pablo Larraín",2094
"Daniel Marc Dreifuss	",2094
"Daniel Ruby",2109
"Carlos Klein",2134
"Antonia Santa María",2156
"Pandora da Cunha Telles",1378
"Miguel Asensio",2169
"Víctor Cubillos",2172
"Juan de Dios Larraín",2218
"Diego Valenzuela",2218
"Matías Cruz",1386
"Jacques Bidou",2053
"Marianne Dumoulin",2053
"Catalina Vergara",2224
"Paola Castillo",2242
"Soledad Silva",2242
"Nicolás Ibieta",2243
"George von Knorring",2243
"Guillermo Prieto",2243
"Cristián Aguilar",2080
"Jorge Olguín",2080
"Sara Silveira",2080
"Patricia Leiva",2335
"Ricardo Villarroel ",2340
"Marlene Vargas",2347
"Pablo Larraín",2377
"Juan de Dios Larraín",2377
"Christoph Friedel",2168
"Claudia Steffen",2168
"Mario Mazzarotto",2168
"Emanuele Nespeca",2168
"Luis Ramírez",2168
"Alvaro Donoso",2168
"Pablo Larraín",2381
"Juan de Dios Larraín",2381
"Sebastián Lelio",2377
"Gonzalo Maza",2377
"Daniel Véliz",2760
"Bruno Bettati",2475
"Eugenio Ramírez",2483
"Juan de Dios Larraín",2520
"Pablo Larraín",2520
"Gabriela Sandoval",2524
"Carlos Núñez",2524
"Shawn Garry",2524
"Catalina Vergara",2525
"Ignacio Santa Cruz",2562
"Sergio Gándara",2563
"Rafael Alvarez",2563
"Ignacio Monge",2563
"Dominique Martel",2564
"Diego Rougier",2566
"Fernando Bascuñán",2580
"Florencia Larrea",2580
"Alicia Scherson",2580
"Juan de Dios Larraín",2588
"Pablo Larraín",2588
"Gonzalo Rodríguez",2603
"Nicolás López",2169
"Soledad Trejo",2607
"Pablo Rosenblatt",2609
"Christian Torres",2211
"Pablo Mantilla",2211
"Gonzalo Carracedo",2211
"Gonzalo Escobar",2647
"Fernanda Morales",2647
"Sebastián Freund",2637
"Carlos Hansen",2637
"Lalo Prieto",2637
"Francisca Cummins",2704
"Sebastián Badilla",2706
"Gonzalo Badilla",2706
"Eduardo Villalobos",2715
"Guillaume De Saille",2715
"Alan Fischer",2109
"Juan Pablo Echeverría",2760
"Úrsula Budnik",2781
"Gisela Camara",2788
"Pedro Rossi",2788
"Gabriel Flores Durán",2788
"Adrián Solar",2788
"Juan de Dios Larraín",2827
"Pablo Larraín",2827
"Florencia Larrea",2833
"Miguel Asensio",2835
"Augusto Matte",2836
"Cristián Jiménez",2836
"Nadia Turincev",2836
"Julie Gayet",2836
"Nicolas Comeau",2836
"Gregorio González",2837
"Josefina Undurraga",2837
"Bruno Bettati",2836
"Rebeca Gutiérrez Campos",2870
"Federico Sande Novo",2870
"Nicolás Grosso",2870
"Ivan Eibuszyc",2876
"Dominga Sotomayor",2876
"Lisandro Rodriguez",2876
"Ana Perera",2876
"Julián González Navarrete",2876
"Cristián Chamblas",2876
"Eduardo Faundes",2876
"Diego Moral",2885
"Cristina Littin",2853
"Paola Castillo",2897
"Arjoune Casassus",2899
"Clara Taricco",2900
"Miguel Asensio",2914
"Nicolás López",2914
"Jorge Olguín",2787
"Macarena Keller",2787
"Chris Sablan",2787
"Soledad Sahie",2787
"Francisca Cifuentes",2787
"Rafaella Tonini",2916
"Sebastián Freund",3009
"Carlos Núñez",3010
"Gabriela Sandoval",3010
"Juan de Dios Larraín",3011
"Renate Sachse",3014
"Bruno Bettati",3014
"Fernando Lataste",3014
"Jaume Roures",3014
"Paola Castillo",3021
"Jonathan Molina",3022
"Sergio Castilla",3048
"Claudia Barril",3060
"Adrián Solar",3079
"Diego Valenzuela",3079
"Carlo D'ursi",3079
"Ignacio Rey",3079
"Gastón Rothschild",3079
"Nicole Gerhards",3079
"Diego Rougier",3100
"Javiera Contador",3100
"Paola Barrera",3120
"Carlos Espinoza Furniss",3120
"Alejandro Carboni",3120
"Miguel Valladares",3120
"Carlos Alcántara",3120
"Cristóbal Valderrama",3123
"Nicolás Saavedra",3123
"Rafael Valdeavellano",3124
"Viviana Erpel",3126
"Isabel Valenzuela",3126
"Vivienne Barry",3126
"Juan de Dios Larraín",3150
"Pablo Larraín",3150
"Charlie Dibe ",3150
"David Hinojosa ",3150
"Julia Oh ",3150
"Sebastián Brahm",3164
"Yassin Velásquez",3169
"Miguel Asensio",3172
"Colleen Camp",3172
"John T. Degraye ",3172
"Nicolás López",3172
"Eli Roth",3172
"Miguel Asensio",3203
"Melisa Gañan",3309
"Francisca Marticorena",3309
"Herman Monges",3309
"Cristóbal Azócar",3309
"Jorge Yacoman",2899
"Juan de Dios Larraín",3321
"Alejandro Zito",3321
"Juan Pablo García",3321
"Ignacio Rey",3321
"Gastón Rothschild",3321
"Peter Danner ",3321
"Renan Artukmac",3321
"Fernanda del Nido",3321
"Jeff Skoll",3321
"Jonathan King",3321
"Axel Kuschevatzky",3321
"Francisco Hervé",3316
"Verónica Lyon",3316
"Xavier Rocher",3316
"Rolf Schilling",3316
"Jonathan Leidich",3316
"Ed Barreveld",3419
"María Teresa Larraín",3419
"Lisa Valencia-Svensson",3419
"Alvaro de la Barra",3458
"Patricio Pereira",154
"Patricio Pereira",792
