"nombre_personaje","pelicula_id"
"Cristián Lecaros",48
"Rodrigo Duque",48
"Jorge Olguín",50
"Cristián Aguilar",50
"Dave Brown",50
"Consuelo Castillo",52
"Daniel Benavides",53
"Bruno Bettati",53
"Juan Pablo Lazo",54
"Pilar Silva",55
"Luis R. Vera",56
"Gustavo Sánchez",56
"Diego Valenzuela",59
"Diego Izquierdo",60
"Alfonso Gazitúa",61
"Christian Olguín",61
"Hernán Larraín",62
"Juan de Dios Larraín",62
"Derek Rundell",63
"Boris Quercia",63
"Diego Izquierdo",63
"Úrsula Budnik",64
"Antonino Ballestrazzi",64
"Alejandro Burr",66
"Úrsula Budnik",70
"Guillaume Benski",70
"Pablo Mehler",70
"Rodrigo Riquelme",90
"María Eugenia Navarro",94
"Robin Westcott",94
"Verónica Cid",114
"Jorge Olguín",114
"Juan Manuel Egaña",123
"Iafa Britz",123
"Marcos Didonet",123
"Juan Tomicic",123
"Gastón Chedufau",126
"Shawn Garry",126
"Bruno Bettati",127
"Mauricio Arrau",130
"Sebastián Arrau",130
"Alex Bowen",130
"Jorge Abud",132
"Gina Abud",132
"Sebastián Ayub",132
"Iván López",132
"José Miguel Posada",132
"Javier Schenone",132
"Diego S. Santander",132
"Mike Traa",132
"Felipe Villarino",132
"Bettina Perut",136
"Iván Osnovikoff",136
"Giancarlo Cammarota",136
"Ernesto Farazo",136
"Eduardo Lobos",136
"Miguel Asensio",137
"Alexis Borràs",139
"Néstor Doménech",139
"Daniel de la Vega",140
"Gabriel Agosin",145
"Patricio Pereira",147
"Natalie Trafford",147
"Esteban Schroeder",148
"Sergio Gándara",148
"Yvonne Ruocco",148
"Pablo Salomón",148
"Detlef Ziegert",148
"Cristián Jiménez",152
"Joan Borrell",152
"Pablo Díaz",157
"Macarena López",242
"Gastón Chedufau",297
"José Andrés Calderón",297
"Sebastián Moreno",324
"Gonzalo Maza",324
"Sebastián Varela",324
"Paz Urrutia",344
"Alfredo Rates",345
"Luis Ramírez",345
"César Caro",358
"Ana Lucía Jiménez",358
"Macarena Concha",361
"Fernando Lataste",361
"Miguel Asensio",780
"Paz Urrutia",789
"Ignacio Ureta",789
"Suzana Amado",849
"Adrián Solar",849
"Verónica Rosselot",786
"Sebastián Aloi",898
"Sebastián Freund",898
"Magdalena Maino",898
"Gabriel Noé",1050
"Eduardo Castro",1098
"Jorge Malatesta",1098
"Mariane Hartard",778
"Juan Ignacio Correa",778
"Andrea Carrasco",778
"Matías Camus",1170
"Matías Amoçain",1170
"Paola Castillo",1192
"Macarena Concha",783
"Sergio Trabucco",1261
"Francisca Cummins",782
"Luigi Araneda",782
"Javiera Contador",1382
"Diego Rougier",1382
"Adrián Solar",1382
"Patricio Pereira",1551
"Carla Valencia Dávila",1200
"Paulo Parra",1179
"Nayra Illic",1179
"Flor Rubina",1664
"Pablo Rovito",1379
"Paula Cosenza",1379
"Patricio Pereira",1379
"Mariane Hartard",1380
"Andrea Carrasco",1380
"Juan Ignacio Correa",1380
"Eduardo Villalobos",1496
"Cristián de la Fuente",1709
"Caspar Arnhold",1709
"Diego Dubcovsky",1709
"Edgard Tennembaum",1709
"Nicolás López",1667
"Miguel Asensio",1667
"Jorge López Vidales",1393
"Gregorio González",1393
"Pepe Salvia",1393
"Laura Mara Tablón",1393
"Pablo Basulto",1811
"Francisca Hermosilla",1811
"Tiago Tambeli",1837
"Pablo González",1846
"Alejandro Salazar",1846
"Matías Vega",1846
"Mariane Hartard",1391
"Juan Ignacio Correa",1391
"Benjamín Domenech",2013
"Gregorio González",2013
