"nombre_personaje","pelicula_id"
"Patricio Muñoz",48
"Mauricio Molina",49
"Jaime Olguín",50
"Mauricio Molina",52
"Boris Herrera",53
"Carlos Campos",54
"Patricio Muñoz",55
"Mauricio Hernández",56
"Marcos de Aguirre",60
"Pablo A. Pinochet Torres",61
"María Elisa Canopra",61
"Marcos de Aguirre",62
"Mauricio Castañeda",63
"Cristián Freund",64
"Mauricio Castañeda",66
"Boris Herrera",75
"Santiago de la Cruz",90
"Alvaro Boragk",94
"Nicolás Hallet",108
"Simone Dourado",108
"Miguel Hormazábal",108
"José de la Vega",114
"Filmosonido",123
"Ernesto Trujillo",125
"Marcos de Aguirre",125
"Alejandro Castillo (II)",126
"Ernesto Trujillo",127
"Roberto Espinoza",127
"Felipe Zabala",128
"Roberto Espinoza",128
"Andrés Carrasco",130
"Cristián Freund",130
"Mauricio Castañeda",132
"Freddy González",135
"Iván Osnovikoff",136
"Mauricio Molina",137
"Albert Gay",139
"Andrés Carrasco",140
"Miguel Hormazábal",141
"Rodrigo Sáez",144
"Miguel Hormazábal",145
"Miguel Hormazábal",147
"Ernesto Trujillo",148
"Mauricio Hernández",149
"Álvaro Silva",150
"David Konchnik",150
"Manuel Robles",152
"Santiago de la Cruz",154
"Miguel Hormazábal",242
"Andrés Carrasco",244
"Pablo A. Pinochet Torres",245
"Felipe Zabala",253
"Juan Pablo Manríquez",262
"Roberto Espinoza",262
"Manuela Piña",274
"Boris Herrera",289
"Eric del Valle",289
"Andrea Moser",289
"Mauricio Leiva",297
"Leonardo Céspedes",297
"Jean Jaques Quinet",321
"Boris Herrera",321
"Eric del Valle",324
"Cristián Freund",324
"Ernesto Trujillo",339
"Iván Osnovikoff",343
"Javier Berazaluce",344
"Cristián Freund",344
"Ernesto Trujillo",345
"Claudio Vargas",345
"Ramiro Valdés",358
"Alexander Mederos",358
"Adrián Fernández",358
"Filmosonido",397
"José de la Vega",482
"Felipe Zabala",779
"Cristián Freund",789
"Javier Berazaluce",789
"Claudio Vargas",791
"Heron Alencar",849
"Freddy González",786
"Cristián Freund",870
"Lorenzo Moscia",888
"Cristián Freund",888
"Mauricio Molina",890
"Boris Herrera",898
"Cristián Freund",949
"Cristián Freund",1050
"Miguel Hormazábal",778
"Rodrigo Salvatierra",1170
"Franco Sanguinetti Mendoza",1176
"Boris Herrera",731
"Andrés Carrasco",731
"Amanda Villavieja",731
"Freddy González",731
"Patricio Muñoz",1179
"Alejandro Contreras",1171
"Freddy González",783
"Carolina Adriazola",753
"Jairo Molina",1261
"Lorenzo Rodríguez",1344
"Felipe Zabala",1382
"Cristián Freund",1390
"Mario Puerto",1395
"Claudio Vargas",127
"Boris Herrera",1392
"Eric del Valle",1392
"Francesc Morales",787
"Daniel de Zayas",792
"Miguel Hormazábal",1551
"Franz Córdova",1200
"Mario Puerto",1200
"Roberto Espinoza",1200
"Iván Osnovikoff",785
"Manuel Robles",1378
"Cristián Freund",1378
"Juan Pablo Manríquez",1664
"Miguel Hormazábal",1379
"Isaac Moreno",1690
"Cristián Freund",1690
"Roberto Espinoza",1380
"Alfonso Segura",1709
"Claudio Vargas",1497
"Roberto Espinoza",1497
"Mauricio Molina",1667
"Arturo Sotomayor",1753
"Martín Grignaschi",1393
"Rodrigo Salvatierra",1770
"Roberto Espinoza",1395
"Pablo A. Pinochet Torres",1496
"Boris Herrera",1769
"Cristián Freund",1769
"Pascal Barnier",1811
"César Caro",1811
"Freddy González",1811
"Romina Núñez",1811
"Iván Quiroz",1837
"Rodolfo Sánchez",1846
"Roberto Espinoza",1391
"Pedro Araya",1717
"Poncho Gonzáles",1991
"Claudio Vargas",2013
"Roberto Espinoza",2013
"Roberto Espinoza",1982
"Cristián Larrea",870
"José de la Vega",870
"Amador Providel",1395
"Pablo Bahamondes",1395
"Alfonso Segura",2048
"Alison Michel",2038
"Cristián Freund",2054
"Hernán Saavedra",1205
"Jorge Zepeda",2108
"Boris Herrera",2109
"David Cuerpo",2109
"Carlos Klein",2134
"Alfonso Segura",2135
"Roberto Espinoza",2135
"Miguel Hormazábal",2094
"Roberto Espinoza",2172
"Roberto Espinoza",2218
"José de la Vega",1386
"Carlo Sánchez",2053
"Jean Guy Verán",2053
"Mario Díaz",2134
"Huang Xun",2134
"Santiago Vergara",2134
"Rafael Huerta",2134
"Juan Pablo Manríquez",2242
"Roberto Espinoza",2242
"Pedro Santa Cruz",2254
"Sebastián Larrea",2273
"José de la Vega",2273
"Miguel Hormazábal",2080
"Gustavo Araya",2292
"Rodrigo Zerené ",2335
"Felipe Elgueta",2340
"Mario Puerto",3458
"Frank Rojas",3458
"Sebastián Saavedra",2340
"Miguel Hormazábal",2168
"Roberto Espinoza",2381
"Jorge Zepeda",1377
"Roberto Espinoza",2403
"Gonzalo Ulloa",2403
"Juan Pablo Manríquez",2421
"Eric del Valle",2421
"Mario Puerto",2421
"Roberto Espinoza",2421
"Juan Pablo Manríquez",1192
"Jennifer Tardío",2483
"Cristobal Griño",2483
"Claudio Vargas",2525
"Peter Rosenthal",2525
"Roberto Espinoza",2525
"Sergio Henríquez",2562
"Carlo Sánchez",2562
"Miguel Seixo",2563
"Boris Herrera",2564
"Claudio Vargas",2566
"José Palma",2580
"Loic Prian",2588
"Andrés Zelada",2603
"Pablo Daly",2607
"Sebastián Navarro",2609
