"pelicula_id","nombre_personaje"
48,"Antonia Irarrázaval"
48,"Valentina Aylwin"
49,"Claudia Robles"
51,"Loreto Vuskovic"
52,"Loreto Vuskovic"
61,"Alejandro Moya"
62,"Paola Saavedra"
63,"Constanza Meza-Lopehandía"
64,"Carola Espina"
108,"Marisol Torres"
126,"Laura Fuentes"
126,"Sofía Salas"
127,"Paola Saavedra"
128,"Lola Cabezas"
135,"Muriel Parra"
137,"Claudia Robles"
140,"Tamara Contreras"
148,"María Elena Eliash"
152,"Francisca Kelter"
253,"Nicole Blanc"
345,"Carlos Gallardo"
358,"Sandra Carvajal"
358,"José Luis Muñoz"
358,"Claudia Loza"
780,"Fran Emparanza"
849,"Anna Cantanhede"
849,"Joana Ribas"
898,"Jeanine Mckirnan"
898,"Francisca Román"
783,"Tamara Contreras"
783,"Pilar Gárate"
787,"Ximena Wiesenfeld"
1379,"Pamela Chamorro"
1497,"Catalina Devia"
1667,"Fran Emparanza"
1811,"Magdalena Pérez"
1837,"Pamela Chamorro"
1846,"Gina Franzani"
1846,"Gina Franzani"
1846,"Mai-Lyn Leal"
870,"Claudia Robles"
2048,"Lola Cabezas"
2377,"Loreto Vuskovic"
1377,"Carolina Espina"
2483,"Melisa Nicitich "
2520,"Loreto Vuskovic"
2588,"Muriel Parra"
2211,"Catalina Díaz de Valdés"
2607,"Javiera González (II)"
2678,"Gabriela Olivares"
2678,"Nadia Cabezas"
2740,"Malena Yáñez"
2788,"Carolina Espina"
2851,"Karin López"
3150,"Mark Grattan"
3172,"Elisa Hormazábal"
3022,"Sebastián Torrico"
3203,"Pilar Calderón"
2715,"Sebastián Torrico"
3321,"Muriel Parra"
