"nombre_personaje","pelicula_id"
"Antonia Irarrázaval",48
"Valentina Aylwin",48
"Claudia Robles",49
"Loreto Vuskovic",51
"Loreto Vuskovic",52
"Alejandro Moya",61
"Paola Saavedra",62
"Constanza Meza-Lopehandía",63
"Carola Espina",64
"Marisol Torres",108
"Laura Fuentes",126
"Sofía Salas",126
"Paola Saavedra",127
"Lola Cabezas",128
"Muriel Parra",135
"Claudia Robles",137
"Tamara Contreras",140
"María Elena Eliash",148
"Francisca Kelter",152
"Nicole Blanc",253
"Carlos Gallardo",345
"Sandra Carvajal",358
"José Luis Muñoz",358
"Claudia Loza",358
"Fran Emparanza",780
"Anna Cantanhede",849
"Joana Ribas",849
"Jeanine Mckirnan",898
"Francisca Román",898
"Tamara Contreras",783
"Pilar Gárate",783
"Ximena Wiesenfeld",787
"Pamela Chamorro",1379
"Catalina Devia",1497
"Fran Emparanza",1667
"Magdalena Pérez",1811
"Pamela Chamorro",1837
"Gina Franzani",1846
"Gina Franzani",1846
"Mai-Lyn Leal",1846
"Lola Cabezas",2048
"Loreto Vuskovic",2377
"Carolina Espina",1377
"Melisa Nicitich ",2483
"Loreto Vuskovic",2520
"Muriel Parra",2588
"Catalina Díaz de Valdés",2211
"Javiera González (II)",2607
"Gabriela Olivares",2678
"Nadia Cabezas",2678
"Malena Yáñez",2740
"Carolina Espina",2788
"Karin López",2851
"Mark Grattan",3150
"Elisa Hormazábal",3172
"Sebastián Torrico",3022
"Pilar Calderón",3203
"Sebastián Torrico",2715
"Muriel Parra",3321
