"arteid","pelicula_id","personajeid"
47,48,880
48,49,903
49,50,929
50,51,941
51,52,941
52,53,334
53,54,994
54,55,903
55,56,1020
58,59,941
59,60,755
62,62,755
63,63,1125
64,64,1144
66,66,1176
70,70,755
76,75,1316
92,90,1533
93,90,1534
97,94,1125
104,75,1128
106,61,1074
114,108,151
120,114,1891
131,125,334
132,126,1392
133,127,1392
134,128,79
136,130,2118
140,135,2187
141,137,1591
143,139,2249
144,139,2250
145,140,1596
146,141,903
147,145,1392
151,147,2358
152,147,755
153,148,2390
154,152,334
156,154,2436
158,157,1128
159,157,1316
160,157,1041
161,157,1040
177,242,334
181,244,334
185,253,1128
190,274,3560
199,297,3757
201,299,3776
205,345,3975
208,358,4003
210,358,4004
211,358,4005
216,397,903
232,635,1045
237,123,1309
246,778,903
247,779,1040
248,780,5899
249,788,5920
251,791,5934
257,849,6092
260,898,2358
267,949,6428
295,1098,2358
303,1176,6986
304,1179,3567
312,1171,7128
322,783,151
330,753,2558
341,782,7586
349,1382,941
353,245,2118
361,1429,7827
384,787,8085
385,787,5920
394,792,8212
414,1378,8486
429,1379,755
436,1690,8758
441,1380,8819
444,1497,3966
447,1667,1596
457,1770,9143
467,1811,9293
475,1837,2187
478,1846,7968
503,1391,1392
504,870,6167
527,132,1128
529,2013,2358
531,1982,903
538,2037,10088
541,2048,10139
542,2048,1819
544,2038,10149
548,1205,2432
556,2108,9674
557,2109,3757
558,2094,2358
573,2168,10547
581,2211,8651
583,2218,334
586,2221,10716
592,2254,10811
600,2273,1827
602,2080,7586
606,2292,10932
623,2335,11061
634,2381,11200
635,1386,11206
636,2377,5848
648,1377,334
649,2403,7177
668,2483,10227
673,2520,11594
685,2562,11688
686,2563,1596
687,2564,941
688,2566,11708
694,2580,11762
697,2588,11784
701,2607,11876
705,2647,11947
706,2637,7586
711,2678,12033
721,2704,7586
722,2706,12169
727,2715,6323
738,2740,819
739,2744,12334
751,2785,12488
752,2788,1040
757,2827,12576
758,2833,12590
761,2836,12609
762,2837,3703
763,2837,8209
772,2851,9256
779,2861,151
784,2869,1059
785,2870,941
789,2853,7697
790,2853,12829
798,2914,7586
800,2916,12956
810,3000,13081
816,3009,334
817,3011,2358
819,3010,5848
822,3022,6323
832,3079,12886
843,3100,13431
848,3120,13531
849,3123,7586
851,3126,13545
862,3150,1846
868,3164,6113
869,3172,13749
870,3172,9687
879,3203,13750
913,3321,2358
961,3428,2469
1019,3582,15460
1020,3582,15461
1030,2243,2432
