"asistentedireid","pelicula_id","personajeid"
25,48,878
27,50,926
28,50,927
29,51,940
30,52,961
31,55,1002
33,61,1087
34,62,1002
35,63,1123
36,66,543
39,70,1251
41,64,1135
42,75,753
73,123,2037
74,123,2023
75,125,1002
76,126,2064
77,126,2065
78,127,1251
79,130,1251
80,132,2142
82,135,2186
83,137,1570
85,139,2248
86,140,2272
87,140,2270
88,140,2271
89,140,1251
90,141,1002
91,145,1002
92,147,1002
93,148,2380
94,148,2381
95,148,2382
97,150,2405
98,152,1194
131,244,1194
136,253,3414
154,321,3885
155,321,616
156,324,3899
166,358,4001
167,358,3999
168,358,4002
210,780,5897
212,791,5933
218,786,3869
225,898,1194
226,898,1002
253,1050,3417
264,778,1002
291,1382,878
292,1382,7705
296,245,7731
332,1179,8554
338,1379,1829
356,1667,5897
362,791,2074
363,791,543
376,1837,5542
389,1770,9794
403,1846,9763
404,1846,9874
409,2013,543
410,2013,2271
411,870,10017
414,2037,10085
416,1395,4347
418,2048,7231
421,1205,8934
422,1205,6066
423,1205,2431
433,2094,7731
434,2094,1194
451,2273,9312
454,2340,8686
461,2168,11179
462,2168,11180
466,1386,11207
467,2377,10017
476,1377,1414
479,2421,2533
486,1192,11459
492,2483,11515
506,2108,5129
521,2607,9683
522,2607,7149
525,2647,8802
526,2647,9874
529,2678,12030
539,2706,10696
540,2706,10934
549,2403,2424
552,2741,10185
564,2827,11515
565,2836,12610
571,2851,9254
572,2851,12666
580,2870,11734
593,2916,12958
594,2916,12959
606,3014,6959
635,3126,4043
642,3172,1589
643,3172,13751
644,3172,12610
651,3022,13853
652,3203,13856
679,2899,14306
699,2870,8802
700,2520,8802
701,2520,7731
719,3428,7757
786,2243,9028
787,2243,15554
