"directorid","pelicula_id","personajeid","funcion"
51,48,869,""
52,48,870,""
53,49,432,""
54,50,320,""
55,51,787,""
56,52,945,""
57,53,727,""
58,54,981,""
59,55,997,""
60,56,1007,""
63,59,432,""
64,60,280,""
65,61,1074,""
66,62,1001,""
67,63,1106,""
68,64,1133,""
70,66,393,""
74,70,1133,""
79,75,1312,""
98,90,699,""
102,94,1124,""
117,108,144,""
129,114,320,""
138,123,998,""
139,123,2018,""
142,125,174,""
143,126,2053,""
144,127,2074,""
145,128,122,""
147,130,2112,""
149,132,1106,""
152,135,430,""
153,135,477,""
154,136,2198,""
155,136,2199,""
156,137,658,""
159,139,1312,""
160,140,33,""
161,141,1001,""
165,144,92,""
166,145,2296,""
168,147,487,""
169,148,2360,""
170,149,2394,""
171,150,2401,""
173,152,698,""
175,154,2436,""
179,157,753,""
180,157,1451,""
271,242,1407,""
273,244,2416,""
274,245,3352,""
283,253,1547,""
295,262,1973,""
308,274,3551,""
325,289,3669,""
326,289,3677,""
335,297,3751,""
337,299,3774,""
361,321,3875,""
365,324,1788,""
382,339,2074,""
390,343,2198,""
391,343,2199,""
392,344,3416,""
393,345,2385,""
408,358,3990,""
411,361,778,""
463,396,4196,""
464,397,210,""
560,482,354,""
694,603,4457,""
731,635,4293,""
732,635,5172,""
739,641,2614,""
835,731,5783,""
863,753,2550,""
864,753,2558,""
891,778,1001,""
892,779,1312,""
893,780,658,""
894,781,997,""
895,782,1062,""
896,783,778,""
898,785,2199,""
899,785,2198,""
900,786,3272,""
901,787,5911,""
902,788,5911,""
903,789,3416,""
904,789,5922,""
905,789,3636,""
907,791,3688,""
908,792,85,""
978,849,788,""
1000,870,6166,""
1022,888,6250,""
1024,890,1891,""
1033,898,6292,""
1087,949,385,""
1171,890,3857,"Co-dirección"
1216,1050,6727,""
1272,1098,1829,""
1276,781,998,""
1349,1170,3686,""
1350,1171,6974,""
1355,1176,4093,""
1357,1179,1432,""
1375,1192,4196,""
1383,1200,7073,""
1388,1205,2424,""
1427,1236,7288,""
1452,1261,1007,""
1543,1344,3875,""
1579,1377,2436,""
1580,1378,2416,""
1581,1379,487,""
1582,1380,1133,""
1584,1382,7565,""
1588,1386,724,""
1592,1390,7723,""
1593,1391,7731,""
1594,1392,3669,""
1595,1392,3677,""
1596,1393,3458,""
1598,1395,4247,""
1634,1429,7824,""
1712,1496,3352,""
1713,1497,2074,""
1773,1551,2614,""
1898,1664,3461,""
1907,1667,658,""
1932,1690,7824,""
1956,1709,33,""
1966,1717,6699,""
2005,1753,5177,""
2021,1769,1214,""
2022,1770,1876,""
2072,1811,3374,""
2101,1837,9380,""
2112,1846,9430,""
2113,1846,9431,""
2276,1982,6166,""
2287,1991,1458,""
2310,2013,4289,""
2339,2037,10082,""
2340,2038,926,""
2350,2048,127,""
2355,2053,2460,""
2356,2054,5176,""
2388,2080,320,""
2404,2094,1001,""
2420,2108,5573,""
2421,2109,10339,""
2449,2134,3870,""
2450,2135,10448,""
2451,2135,10449,""
2474,2156,2471,""
2487,2168,1407,""
2488,2169,658,""
2491,2172,5654,""
2531,2211,8650,""
2538,2218,432,""
2542,2221,10713,""
2545,2224,10735,""
2546,2224,5557,""
2568,2242,3980,""
2569,2242,4198,""
2570,2243,1106,""
2583,2254,1847,""
2584,2254,7074,""
2605,2273,1658,""
2625,2292,5912,""
2626,2292,8086,""
2673,2335,11060,""
2680,2340,11071,""
2689,2347,1618,""
2725,2377,1133,""
2730,2381,997,""
2754,2403,3551,""
2775,2421,11351,""
2833,2475,3669,""
2842,2483,3732,""
2878,2520,11590,""
2882,2524,1244,""
2883,2525,2074,""
2927,2562,431,""
2928,2563,11689,""
2929,2564,11700,""
2932,2566,878,""
2946,2580,11760,""
2955,2588,889,""
2971,2603,7583,""
2972,2604,658,""
2976,2607,13033,""
2977,2607,7148,""
2980,2609,5169,""
3012,2632,10875,""
3017,2637,5677,""
3028,2647,11940,""
3029,2637,11951,""
3063,2678,12024,""
3093,2704,1062,""
3095,2706,5912,""
3096,2706,8086,""
3107,2715,3352,""
3132,2738,2394,""
3134,2740,812,""
3135,2741,4293,"Director general"
3138,2744,1618,""
3155,2760,12366,""
3156,2760,4135,""
3164,2741,4347,"Director de contenidos"
3194,2781,1133,""
3195,2782,6857,""
3198,2785,12487,""
3201,2787,320,""
3202,2788,788,""
3252,2827,11590,""
3259,2833,393,""
3261,2835,12602,""
3262,2836,2416,""
3263,2837,9169,""
3278,2851,10711,""
3279,2851,9255,""
3281,2853,144,""
3291,2861,1857,""
3299,2869,1059,""
3300,2869,2084,"Co-dirección"
3301,2870,7812,""
3307,2876,4289,""
3308,2877,12764,""
3316,2885,1106,""
3329,2897,4198,""
3331,2899,9020,""
3332,2900,4247,""
3347,2914,4028,""
3349,2916,12955,""
3442,3000,13078,""
3443,3000,12876,""
3452,3009,6292,""
3453,3010,3686,""
3454,3011,1001,""
3457,3014,3272,""
3465,3021,13157,""
3466,3022,13161,""
3492,3048,598,""
3504,3060,3899,""
3505,3060,1788,""
3506,3061,2198,""
3507,3061,2199,""
3525,3079,1312,""
3533,3085,4234,""
3551,3100,7565,""
3574,3120,13521,""
3577,3123,1025,""
3578,3124,13538,""
3579,3124,13539,""
3581,3126,6780,""
3607,3150,997,""
3620,149,2398,"Co-director"
3624,3164,3458,""
3629,3169,12513,""
3630,3169,13736,""
3633,3172,10567,""
3673,3203,658,""
3799,3309,14301," "
3800,3309,7282," "
3808,3316,1973," "
3813,3321,1001," "
3944,3419,4051," "
3954,3428,4101," "
3988,3458,9814," "
4129,3582,15460," "
