"direfotoid","pelicula_id","personajeid"
55,48,879
56,49,902
57,50,928
58,51,561
59,52,402
60,53,978
61,54,425
62,55,902
63,56,1019
66,59,754
67,60,754
68,61,1088
69,62,500
70,63,1124
71,64,999
75,66,540
79,70,738
84,75,999
85,75,736
106,90,1532
111,94,1124
112,94,1597
129,108,500
139,114,5
148,123,500
151,125,540
152,126,2066
153,127,1261
154,128,2096
156,130,1421
158,132,1006
161,135,402
162,136,2205
163,137,1590
165,139,999
166,140,1476
167,141,902
170,144,2288
171,145,2306
173,147,500
174,148,902
175,149,2399
176,150,2402
177,150,1787
179,152,1261
181,154,2438
184,157,1544
271,242,1421
273,244,1261
274,245,1261
284,253,561
293,262,402
294,262,1788
295,262,3460
296,262,3461
297,262,1973
308,274,3552
326,289,1788
327,289,3683
328,289,3677
329,289,3684
330,289,3669
339,297,3756
341,299,3775
377,321,3886
378,321,1788
379,321,333
380,321,3887
383,324,402
384,324,1788
401,339,2023
405,343,2205
406,344,3969
407,345,333
413,358,3993
416,361,5
471,396,2205
472,397,1261
486,482,1532
614,603,4499
650,635,1532
769,731,500
826,778,902
827,779,5891
828,780,754
829,788,5919
831,791,3688
879,849,6091
886,786,6138
921,888,6250
922,890,333
928,898,500
960,949,333
1063,1050,6728
1064,1050,3417
1108,1098,902
1150,1170,902
1151,1171,7083
1154,1176,6276
1156,1179,6998
1157,1179,6999
1176,1171,7084
1202,783,5
1204,1170,4070
1233,753,2550
1234,1261,1019
1304,1344,3886
1339,1382,402
1345,1390,3756
1346,1391,1261
1347,1392,333
1348,792,7736
1349,785,2205
1350,781,902
1351,1393,738
1352,1395,2205
1380,1429,1390
1446,1378,1261
1463,1200,8107
1464,1200,8108
1494,1551,999
1565,1664,402
1567,1379,500
1592,1690,8757
1593,1690,6998
1607,1380,500
1612,1709,4315
1613,1497,1261
1614,1667,754
1621,1717,909
1650,1753,9064
1666,1769,902
1667,1770,9142
1686,1496,1261
1697,1811,2129
1712,1837,807
1720,1846,9441
1854,1982,902
1862,1991,9917
1885,2013,5891
1887,870,902
1902,2037,10086
1903,2037,10087
1916,2048,1261
1919,2038,6061
1921,2053,5891
1922,2054,5176
1923,2054,6049
1937,1205,7129
1951,2054,2468
1952,2054,402
1966,2108,10335
1967,2108,5573
1968,2109,1544
1969,2094,902
1988,2134,3870
1989,2135,10156
2010,2156,1544
2021,2168,1421
2022,2169,754
2023,2172,879
2046,2211,10681
2050,2218,902
2058,1386,10335
2062,2224,10735
2090,2242,2205
2091,2242,4233
2092,2243,1006
2104,2254,7081
2105,2254,333
2120,2273,1544
2125,2080,4315
2126,2080,561
2132,2292,10594
2172,2335,11060
2175,2340,9524
2187,2347,4070
2210,2377,738
2215,2381,909
2236,1377,5573
2237,2403,7081
2251,2421,4233
2252,2421,3460
2270,1192,2205
2274,2475,1261
2280,2483,7497
2295,2520,738
2300,2525,1261
2301,2525,10735
2302,2525,3688
2303,2525,2074
2328,2562,807
2329,2563,11694
2330,2564,902
2333,2566,11707
2347,2580,333
2357,2588,1261
2367,2603,7477
2371,2607,11838
2372,2607,11839
2374,2609,9178
2375,2609,11848
2395,2637,561
2417,2678,12024
2433,2704,4315
2442,2715,1261
2459,2738,364
2460,2740,1532
2461,2741,9608
2462,2741,9592
2463,2741,11838
2464,2741,6531
2467,2744,7567
2473,2760,12366
2480,2741,12400
2490,2781,1133
2492,2788,6091
2522,2827,4315
2533,2835,754
2534,2836,1261
2535,2837,7081
2549,2851,9252
2551,2853,909
2558,2861,5
2567,2869,364
2568,2869,3816
2569,2869,10288
2570,2870,12751
2574,2876,1006
2575,2877,8218
2585,2885,1006
2592,2833,879
2613,2897,2205
2615,2899,9020
2616,2900,2205
2631,2914,1590
2633,2787,12940
2634,2916,9794
2679,3000,9794
2686,3009,500
2687,3011,902
2688,3010,902
2690,3014,6138
2700,3021,402
2701,3021,4233
2702,3022,9142
2728,3048,13238
2729,3048,5141
2730,3048,402
2744,3060,1788
2745,3061,2205
2763,3079,333
2772,3085,3460
2785,3100,754
2802,3120,9458
2807,3123,9794
2808,3124,2205
2810,3126,333
2833,3150,902
2852,3164,738
2853,3164,902
2858,3169,7081
2859,3172,754
2884,3203,754
2897,3124,9178
2919,2647,9441
2985,3309,7282
2993,3316,402
3011,3321,902
3076,3419,333
3077,3419,14780
3087,3428,397
3108,3458,5932
3109,3458,1261
3110,3458,14987
3216,3582,15462
