"elencoid","pelicula_id","personajeid"
647,48,871
648,48,872
649,48,873
650,48,874
651,48,875
652,48,876
653,49,748
654,49,445
655,49,489
656,49,892
657,49,893
658,49,894
659,49,895
660,49,905
661,49,906
662,49,907
663,49,908
664,50,913
665,50,914
666,50,915
667,50,916
668,50,917
669,50,658
670,50,918
671,50,919
672,50,920
673,50,489
674,50,16
675,50,324
676,50,921
677,50,647
678,50,922
679,51,936
680,51,937
681,51,938
682,51,325
683,51,267
684,51,69
685,51,492
686,51,494
687,51,908
688,51,100
689,52,254
690,52,433
691,52,949
692,52,435
693,52,950
694,52,951
695,52,952
696,52,953
697,52,82
698,52,956
699,52,325
700,52,955
701,52,968
702,52,954
703,53,970
704,53,971
705,53,972
706,53,973
707,53,974
708,53,975
709,54,983
710,54,984
711,54,985
712,54,986
713,54,987
714,54,988
715,54,989
716,55,999
717,55,510
718,55,227
719,55,705
720,55,438
721,55,254
722,55,948
723,56,399
724,56,11
725,56,1008
726,56,195
727,56,1009
728,56,435
729,56,132
730,56,1010
731,56,1011
732,56,763
733,56,1012
734,56,630
735,56,30
736,56,16
737,56,494
738,56,296
739,56,1013
744,59,1028
745,59,435
746,59,797
747,59,720
748,59,131
749,59,1063
750,59,433
751,59,799
752,59,254
753,60,280
754,60,1064
755,60,433
756,60,1065
757,60,1066
758,60,1067
759,61,1076
760,61,1077
761,61,67
762,61,1078
763,61,560
764,61,1079
765,61,1080
766,61,1081
767,62,748
768,62,1096
769,62,1097
770,62,94
771,62,276
772,62,99
773,62,950
774,62,278
775,62,1098
776,62,431
777,62,401
778,62,459
779,62,560
780,63,1107
781,63,1008
782,63,1009
783,63,1110
784,63,437
785,63,1111
786,63,1112
787,63,1113
788,63,951
789,63,1114
790,63,50
791,63,1115
792,63,1116
793,63,1117
794,63,646
795,63,1118
796,63,1119
797,64,132
798,64,65
799,64,1136
800,64,720
801,64,489
802,64,1137
803,64,1111
817,66,66
818,66,1166
819,66,1167
820,66,254
821,66,82
822,66,283
823,66,65
824,66,67
825,66,31
826,66,1098
827,66,1168
828,66,1169
829,66,1170
830,66,1171
831,66,267
882,70,1028
883,70,1244
884,70,1245
900,56,1266
901,56,550
902,56,1267
903,56,1268
904,56,1269
905,56,6399
906,56,1271
907,56,1272
908,56,292
909,56,1274
910,56,1275
911,56,1276
912,56,398
945,75,1313
946,75,323
1152,90,1525
1153,90,1526
1154,90,1527
1155,90,1528
1156,90,1529
1157,90,1530
1282,61,1732
1283,61,1733
1284,61,1734
1285,61,1735
1286,61,1736
1287,61,1737
1288,61,1738
1289,61,1739
1290,61,1740
1388,108,748
1389,108,1807
1390,108,702
1391,108,1687
1392,108,132
1393,108,401
1394,108,1808
1395,108,1809
1396,108,1810
1397,108,600
1398,108,297
1399,108,1811
1400,108,1812
1401,108,1813
1402,108,1814
1403,108,1815
1404,108,1816
1405,108,968
1406,108,1817
1407,108,1818
1408,108,1819
1409,108,1820
1410,108,1581
1411,108,797
1455,114,938
1456,114,323
1457,114,489
1458,114,1200
1459,114,1889
1460,114,647
1461,114,1890
1462,114,1293
1463,114,536
1464,114,276
1465,114,1892
1466,114,1893
1589,123,998
1590,123,2018
1591,123,2020
1592,123,2019
1593,123,2021
1594,123,2022
1595,123,2023
1596,123,705
1597,123,2024
1598,123,2025
1599,123,2026
1600,123,2027
1601,123,1792
1602,123,1003
1603,123,2028
1604,123,997
1605,123,2030
1606,123,15405
1607,125,276
1608,125,505
1609,125,536
1610,125,280
1611,125,2043
1612,125,227
1613,125,2044
1614,125,2045
1615,125,705
1616,125,754
1617,125,2046
1618,125,1168
1619,125,257
1620,125,132
1621,125,52
1622,125,82
1623,125,732
1624,125,751
1625,125,2047
1626,125,2048
1627,125,2048
1628,125,2049
1629,125,2050
1630,125,1283
1631,125,2051
1632,125,251
1633,126,2054
1634,126,2055
1635,126,2056
1636,126,343
1637,126,894
1638,126,99
1639,126,2057
1640,127,2075
1641,127,2076
1642,127,2077
1643,127,702
1644,127,2078
1645,127,102
1646,127,1481
1647,127,2079
1648,127,973
1649,127,206
1650,127,2080
1651,127,2081
1652,127,2082
1653,127,2083
1654,127,2084
1655,128,132
1656,128,131
1657,128,84
1658,128,254
1659,128,950
1660,128,50
1661,128,1484
