"maquillajeid","pelicula_id","personajeid"
19,48,884
20,48,885
21,49,910
23,52,964
25,52,966
26,56,163
27,56,1024
29,61,1094
30,62,1103
31,63,1127
44,75,1316
48,108,910
56,126,2069
57,127,2088
58,132,2143
59,135,2088
60,137,1127
61,140,2274
62,145,2088
71,148,2392
84,253,1316
132,780,5898
142,778,185
147,783,7270
148,783,7271
159,1382,7573
166,787,8084
176,1379,910
178,1667,5898
189,1846,9872
190,1846,9873
191,1846,9443
193,870,10018
197,2048,474
214,1377,11288
220,2483,11441
226,2647,11948
227,2678,12034
231,2706,11441
245,2851,11441
248,137,2069
249,2013,2069
250,2475,2069
251,1393,2069
290,3428,8198
