"musicaid","pelicula_id","personajeid"
63,48,882
64,49,26
66,50,930
67,51,943
68,52,963
69,53,980
70,54,995
71,55,1003
72,55,1004
73,55,1005
74,56,1022
77,59,26
78,60,1071
79,60,1072
80,61,1091
82,62,943
83,63,1126
84,64,1142
86,66,1177
95,75,1318
118,90,699
139,75,1701
151,108,943
171,114,1300
172,114,1301
184,123,2038
185,123,2039
186,125,963
187,126,2068
189,128,167
192,130,1143
194,132,1126
196,135,2188
197,137,1071
199,139,1318
200,139,2252
201,140,1310
203,144,2188
205,144,2289
206,145,2308
207,145,2309
208,145,2310
209,145,2311
219,147,319
220,147,80
222,152,2421
225,154,429
326,244,3346
327,245,239
331,253,3403
340,262,3462
352,274,3554
353,274,3555
383,289,167
389,297,3760
391,299,3777
412,321,2547
413,324,3901
414,324,1406
425,344,3424
426,345,396
432,358,4000
434,361,396
460,396,744
461,397,882
509,603,5052
591,731,80
592,731,319
620,779,1318
621,789,744
622,789,5924
651,786,319
652,786,80
679,888,6251
680,888,6250
681,888,6252
682,888,6253
683,890,6260
716,949,2412
750,1050,2289
789,1171,7085
791,1176,6278
792,1176,6275
795,1179,7000
815,1171,7126
816,1171,7127
832,783,396
845,753,5837
852,782,7587
869,1392,167
870,792,7738
925,1551,744
934,1200,744
959,1378,8487
960,1378,8488
980,1664,3462
981,1379,776
982,1379,8648
983,1379,319
984,1379,80
995,1690,1177
1009,1344,167
1010,1709,167
1013,1667,1071
1017,1717,1004
1037,1769,1177
1042,70,6555
1044,1380,6555
1045,1098,6555
1052,1770,9140
1053,1393,319
1054,1393,80
1055,1496,239
1059,1811,3653
1070,1837,9389
1077,1846,8800
1124,1991,1468
1161,2048,167
1179,1205,10273
1180,1205,10277
1181,1205,10278
1182,1205,10279
1183,2054,3652
1187,1382,10327
1188,2108,10338
1189,2109,319
1197,1098,8819
1201,2134,3870
1202,2134,10447
1222,2172,10564
1223,2172,10565
1245,1377,429
1246,2242,7022
1247,2243,1126
1254,2254,6663
1262,2273,3981
1265,2080,319
1266,2080,80
1272,2340,11072
1285,2168,8487
1286,2168,8488
1293,2403,80
1311,2475,8488
1312,2475,8487
1313,2038,9855
1327,2525,80
1339,2563,11693
1340,2564,11702
1341,2564,11703
1342,2564,2068
1343,2566,2028
1353,2580,6555
1362,2604,1071
1363,2169,1071
1365,2609,3901
1375,2637,11953
1389,2678,10648
1405,2704,8488
1406,2704,8487
1421,2109,80
1432,2738,12017
1433,2740,12326
1435,2744,12333
1437,2403,319
1438,2760,12367
1439,2760,12368
1459,2781,2311
1461,2785,12490
1462,2788,12499
1463,2788,12500
1470,2836,12608
1471,2837,12621
1472,2836,8487
1473,2836,8488
1486,2861,12702
1492,2869,5924
1495,2876,12760
1496,2877,12768
1497,2877,12769
1498,2877,7265
1504,2885,1126
1506,2833,26
1513,2897,744
1514,2897,8319
1516,2900,319
1517,2900,80
1527,2914,1071
1528,2787,12941
1529,2787,12942
1530,2916,12957
1548,3009,744
1549,3011,26
1550,3010,3981
1551,3014,319
1552,3014,80
1557,3021,13159
1558,3021,13160
1581,3048,2714
1582,3048,13240
1595,3060,7019
1608,3079,1318
1613,3085,13353
1619,3100,744
1620,3100,2028
1640,3120,2039
1641,3123,13537
1643,3126,13546
1661,3150,13658
1662,3150,13659
1672,3164,13720
1673,3164,13721
1677,3172,1071
1695,3203,13856
1699,3124,13889
1748,3309,9668
1749,3309,8019
1760,3321,14458
1784,3316,3462
1785,3316,14624
1808,3419,396
1814,3428,14842
1815,3428,14843
1816,3428,4103
1817,3428,14844
1818,3428,14845
1819,3428,14846
