"vestuarioid","pelicula_id","personajeid"
12,48,886
13,48,887
14,49,911
15,51,300
16,52,300
19,61,1090
20,62,1104
21,63,1128
24,64,1279
39,108,1827
44,126,2070
45,126,2071
46,127,1104
47,128,2098
48,132,2144
49,135,475
50,137,911
51,140,1502
58,148,2391
59,152,2423
70,253,1040
77,345,3976
78,358,4006
79,358,1045
80,358,4007
88,780,5900
90,849,6093
91,849,6094
93,898,6295
94,898,1236
104,783,1502
105,783,7269
113,787,8083
118,1379,3757
120,1497,3966
123,1667,5900
126,1811,9294
128,1837,3757
129,1846,9442
137,1846,9442
138,1846,9876
142,870,911
145,2048,2098
159,2377,300
161,1377,1443
167,2483,11518
170,2520,300
177,2588,475
178,2211,1503
179,2607,9268
180,2678,12035
181,2678,12036
184,2740,12325
189,2788,1443
195,2851,9683
209,3150,11200
210,3172,13750
212,3022,13854
213,3203,13855
217,2715,13854
223,3321,475
