"pelicula_id","nombre_personaje"
48,"Alejandro Lagos"
50,"Francesc Morales"
50,"Guillermo Pérez"
51,"Elisa García"
52,"Claudia Bravo"
55,"María José Droguett"
61,"Denis Leyton"
62,"María José Droguett"
63,"Juan Francisco Rosas"
66,"Gabriela Sobarzo"
70,"Rosario Onetto"
64,"Paula del Fierro"
75,"Fernanda Aljaro"
123,"Rodrigo Toro"
123,"Francisco Schultz"
125,"María José Droguett"
126,"Nely Reguera"
126,"Pablo Olivera"
127,"Rosario Onetto"
130,"Rosario Onetto"
132,"Claudio Sepúlveda"
135,"Paulo Valdéz"
137,"Daniel Segal"
139,"Carles Valero"
140,"Denise Borberg"
140,"Luis Cociña"
140,"Liu Marino"
140,"Rosario Onetto"
141,"María José Droguett"
145,"María José Droguett"
147,"María José Droguett"
148,"Sergio de León"
148,"Diego Ferrando"
148,"Federico Grampin"
150,"Pablo Pinto Giraud"
152,"Waldo Salgado"
244,"Waldo Salgado"
253,"Dominga Ortúzar"
321,"Pachi Bustos"
321,"Consuelo Castillo"
324,"Claudia Barril"
358,"Alejandro Gómez"
358,"Juan Manuel Fernández"
358,"Luis Román"
780,"Chepo Sepúlveda"
791,"Eduardo Pacheco"
786,"Cristóbal Vicente"
898,"Waldo Salgado"
898,"María José Droguett"
1050,"Cristián Louit"
778,"María José Droguett"
1382,"Alejandro Lagos"
1382,"Roberto Salomone"
245,"Oscar Godoy"
1379,"Julio Jorquera"
1667,"Chepo Sepúlveda"
791,"José Luis Torres Leiva"
791,"Gabriela Sobarzo"
1837,"Pablo Stephens"
1770,"José Luis Canales"
1846,"Nicole Barrios"
1846,"Cristian Donoso"
2013,"Gabriela Sobarzo"
2013,"Liu Marino"
870,"Manuela Delpiano"
2037,"Juan Andrés Fontán"
1395,"Israel Pimentel Bustamante"
2048,"Alvaro Cabello"
1205,"Roberto Urzua"
1205,"Nicolas Bórquez"
1205,"Pedro Sepúlveda"
2094,"Oscar Godoy"
2094,"Waldo Salgado"
2273,"Javier Correa"
2340,"Felipe Elgueta"
2168,"Ciro Scognamiglio"
2168,"Andrea Piazza"
1386,"Leonardo Valsecchi"
2377,"Manuela Delpiano"
1377,"María José San Martín"
2421,"Claudia Sepúlveda"
1192,"Loreto Contreras"
2483,"Nicol Ruiz "
2108,"Juan Pablo Echeverría"
2607,"Karin López"
2607,"Sebastián Roblero"
2647,"Constanza Hevia"
2647,"Cristian Donoso"
2678,"José Ignacio Morales"
2706,"Claudio Soto Lizama"
2706,"Iñaki Fernandois"
2403,"Elisa Eliash"
2741,"Catalina Alarcón"
2827,"Nicol Ruiz "
2836,"Constanza Majluf"
2851,"Matías Hidalgo-Silva"
2851,"Patrick Leroux"
2870,"Marta Loza"
2916,"Pablo Quinteros"
2916,"Samuel Restucci"
3014,"Nicolas Lasnibat"
3126,"Juan Diego Spoerer"
3172,"Pablo Atienza"
3172,"Guillermo Briones Basoalto"
3172,"Constanza Majluf"
3022,"Ébana Garín"
3203,"Alberto Alen"
2899,"Romina Perazzo"
2870,"Constanza Hevia"
2520,"Constanza Hevia"
2520,"Oscar Godoy"
3428,"Constanza Torres Quiroz"
2243,"Paloma González"
2243,"Cecilia Valencia"
