Ano,productora,titulo,monto asignado,genero
2006,BAZUCA FILMS LTDA,EN LA CAMA,"14,277,947",Ficción
2006,DISTRIBUIDORA MC FILMS S.A.,FUGA,"14,338,962",Ficción
2006,PRODUCTORA HORAMAGICA LTDA,LA SAGRADA FAMILIA,"14,335,831",Ficción
2006,CHILECHITA PRODUCCIONES E INVERSIONES LTDA,KILTRO,"14,314,700",Ficción
2006,PRODUCTORA RETAGUARDIA FILMS LTDA,VERNISSAGE,"1,303,678",Ficción
2006,PRODUCTORA RETAGUARDIA FILMS LTDA,12 MINUTOS,"1,303,678",Ficción
2006,PRODUCTORA RETAGUARDIA FILMS LTDA,LLORANDO DEBAJO DEL AGUA,"1,303,678",Ficción
2006,PRODUCTORA RETAGUARDIA FILMS LTDA,OBRERAS SALIENDO DE LA FABRICA,"1,303,678",Ficción
2006,PRODUCTORA RETAGUARDIA FILMS LTDA,LOBOS,"1,303,678",Ficción
2006,CHILECHITA PRODUCCIONES E INVERSIONES LTDA,EL REY DE LOS HUEVONES,"14,521,120",Ficción
2006,PRODUCCIONES AUDIOVISUALES CACO LTDA,PADRE NUESTRO,"14,580,000",Ficción
2006,TERRANOVA PRODUCCIONES LTDA,EL MAGNIFICO,"2,532,500",Ficción
2006,P+O LTDA,WELCOME TO NEW YORK,"2,191,944",Documental
2006,ANDRES WOOD PRODUCCIONES S.A.,"LA HIJA DEL GENERAL, MICHELLE BACHELET","3,679,000",Documental
2006,BAZUCA FILMS LTDA,EL REY DE SAN GEGORIO,"13,991,086",Documental
2007,MARCELA SAID,OPUS DEI,"2,255,000",Documental
2007,JIRAFA LTDA,EL ASESINO ENTRE NOSOSTROS,"2,712,761",Ficción
2007,CINEMBARGO COMUNICACIONES CINE Y TV LTDA,CASA DE REMOLIENDA,"14,454,350",Ficción
2007,PORTAL BASUALTO LTDA,MONOGAMO SUCESIVO,"4,411,670",Documental
2007,"BARRIL, MORENO Y CIA LTDA",LA CIUDAD DE LOS FOTOGRAFOS,"3,765,949",Documental
2007,ERRANTE PRODUCCIONES LTDA,"REINALDA DEL CARMEN, MI MAMA Y YO","4,515,421",Documental
2007,COMERCIALIZADORA BF LTDA.,NORMAL CON ALAS,"14,875,000",Ficción
2007,PRODUCCIONES AUDIOVISUALES PUEBLO LTDA,RADIO CORAZÓN,"16,000,000",Ficción
2007,ASESORIAS Y PRODUCCIONES FABULA LTDA,LA VIDA ME MATA,"15,250,000",Ficción
2007,CHILE PUEDE PRODUCCIONES LTDA,CHILE PUEDE,"15,804,231",Ficción
2007,LOS FILMES DE ARCADIA LTDA,FIESTA PATRIA,"9,743,675",Ficción
2008,LOS FILMES DE ARCADIA,MATAR A TODOS,"12,900,000",Ficción
2008,COMERCIALIZADORA BF LTDA.,DESIERTO SUR,"13,865,000",Ficción
2008,BF DISTRIBUTION LTDA.,EL BRINDIS,"11,680,000",Ficción
2008,WOOD PRODUCCIONES,LA BUENA VIDA,"14,937,500",Ficción
2008,LOS FILMES DE ARCADIA LTDA.,RAZA BRAVA,"9,280,000",Documental
2008,RETAGUARDIA FILMS,199 RECETAS PARA SER FELIZ,"14,500,000",Ficción
2008,MC FILMS S.A.,ALICIA EN EL PAIS,"8,990,630",Ficción
2008,PRODUCCIONES AUDIOVISUALES DELIRIO FILMS LTDA.,EL REGALO,"14,150,000",Ficción
2008,MC FILMS,"EL CIELO, LA TIERRA Y LA LLUVIA","10,000,000",Ficción
2008,BF DISTRIBUTION LTDA.,MUÑECA,"14,550,000",Ficción
2008,PRODUCTORA CLAROSCURO LTDA.,SEIS,"3,476,204",Ficción
2008,Klan Producción S.A.,Héroes Frágiles ,"2,426,760",Documental
2008,Fernando Valenzuela y Cía Ltda,1973 Revoluciones por minuto,"5,488,100",Documental
2008,COMERCIALIZADORA BF LTDA (BF LTDA),MIRAGEMAN,"14,728,555",Ficción
2008,CINECORP LTDA,LOKAS,"15,000,000",Ficción
2008,QUALITY FILMS S.A,LO BUENO DE LLORAR,"15,000,000",Ficción
2008,MC FILMS S.A.,31 MINUTOS LA PELICULA,"14,114,865",Ficción
2008,LOS FILMES DE ARCADIA,PROHIBIDO PROHIBIR,"9,650,000",Ficción
2008,ASESORIAS Y PRODUCCIONES FABULA LTDA,TONY MANERO,"15,316,667",Ficción
2009,Producciones Hora Mágica Ltda,Navidad,"14,830,000",Ficción
2009,Comercializadora BF Ltda,Grado 3,"14,999,168",Ficción
2009,Gaviola y García Ltda.,Teresa,"14,233,000",Ficción
2009,Jazz Films Producciones S.A,All Inclusive,"12,250,000",Ficción
2009,Azul Films S.A,Dawson Isla 10,"13,850,000",Ficción
2009,BF Distribution,Turistas,"11,941,400",Ficción
2009,BF Distribution,Retrato de un Antipoeta,"4,841,120",Documental
2009,Jirafa Ltda.,Ilusiones Opticas,"14,621,836",Ficción
2009,Comercializadora BF Ltda,Super,"13,317,314",Ficción
2009,Constanza Fernandez Producciones EIRL,No me Pidas que no lo Lamente,"3,818,221",Ficción
2009,Olguín y Compañía Ltda.,Solos,"7,189,480",Ficción
