"pelicula_id","nombre_personaje"
48,"Enrique Stindt"
49,"Sergio Armstrong "
50,"Juan Carpintero"
51,"Juan Carlos Bustamante"
52,"David Bravo"
53,"Manuel Barrera"
54,"Jorge Avalos"
55,"Sergio Armstrong "
56,"Alfredo García"
59,"Antonio Quercia"
60,"Antonio Quercia"
61,"Álvaro Cortés"
62,"Miguel Ioan Littin"
63,"Víctor Jiménez Atkin"
64,"Gabriel Díaz"
66,"Esteban Courtalón"
70,"Benjamín Echazarreta"
75,"Gabriel Díaz"
75,"Cristián Castro"
90,"Raúl Heuty"
94,"Víctor Jiménez Atkin"
94,"Robin Westcott"
108,"Miguel Ioan Littin"
114,"José Luis Arredondo"
123,"Miguel Ioan Littin"
125,"Esteban Courtalón"
126,"Pau Monràs"
127,"Inti Briones"
128,"Acacio de Almeida"
130,"Ricardo de Angelis"
132,"Nicolás Ibieta"
135,"David Bravo"
136,"Pablo Valdés"
137,"Chechu Graf"
139,"Gabriel Díaz"
140,"Andrés Garretón"
141,"Sergio Armstrong "
144,"Cristián Lorca"
145,"Ignacio Prieto"
147,"Miguel Ioan Littin"
148,"Sergio Armstrong "
149,"Luis Hidalgo"
150,"Pascal Ridao"
150,"Ralf Oberti"
152,"Inti Briones"
154,"Juan Pablo Urioste"
157,"Andrés Garcés"
242,"Ricardo de Angelis"
244,"Inti Briones"
245,"Inti Briones"
253,"Juan Carlos Bustamante"
262,"David Bravo"
262,"Sebastián Moreno"
262,"Pablo Insunza"
262,"María Paz González"
262,"Francisco Hervé"
274,"Felipe Bello"
289,"Sebastián Moreno"
289,"Pablo Salas"
289,"Jean de Certeau"
289,"Andres Silvart"
289,"Marcela Said Cares"
297,"Pablo Letelier"
299,"Caco Correa"
321,"Ned Burgess"
321,"Sebastián Moreno"
321,"Arnaldo Rodríguez"
321,"Raphael O'Byrne"
324,"David Bravo"
324,"Sebastián Moreno"
339,"Francisco Schultz"
343,"Pablo Valdés"
344,"Juan Cristóbal Hurtado"
345,"Arnaldo Rodríguez"
358,"Ana Lucía Jiménez"
361,"José Luis Arredondo"
396,"Pablo Valdés"
397,"Inti Briones"
482,"Raúl Heuty"
603,"Esteban Artuffo"
635,"Raúl Heuty"
731,"Miguel Ioan Littin"
778,"Sergio Armstrong "
779,"Barbara Álvarez"
780,"Antonio Quercia"
788,"Jorge Calderón"
791,"Niles Atallah"
849,"Luis Abramo"
786,"Katell Djian"
888,"Lorenzo Moscia"
890,"Arnaldo Rodríguez"
898,"Miguel Ioan Littin"
949,"Arnaldo Rodríguez"
1050,"Felipe Sepúlveda"
1050,"Cristián Louit"
1098,"Sergio Armstrong "
1170,"Sergio Armstrong "
1171,"Andrés Urrutia"
1176,"Marco Roldán Rojas"
1171,"Freddie Hayes"
783,"José Luis Arredondo"
1170,"Diego Pequeño"
753,"José Luis Sepúlveda"
1261,"Alfredo García"
1344,"Ned Burgess"
1382,"David Bravo"
1391,"Inti Briones"
1392,"Arnaldo Rodríguez"
792,"Sergei Saldivar Kanaka"
785,"Pablo Valdés"
781,"Sergio Armstrong "
1393,"Benjamín Echazarreta"
1395,"Pablo Valdés"
1429,"Guillermo Escalona"
1378,"Inti Briones"
1200,"Daniel Andrade"
1200,"Diego Falconí"
1551,"Gabriel Díaz"
1664,"David Bravo"
1379,"Miguel Ioan Littin"
1690,"Cristobal Portaluppi"
1690,"Tomás Yovane"
1380,"Miguel Ioan Littin"
1709,"Miguel Bunster"
1497,"Inti Briones"
1667,"Antonio Quercia"
1717,"Cristián Petit-Laurent"
1753,"Miguel Cuitiño"
1769,"Sergio Armstrong "
1770,"Andrés Jordán"
1496,"Inti Briones"
1811,"Paco Toledo"
1837,"Gabriel del Carril"
1846,"Andrés Gallegos"
1982,"Sergio Armstrong "
1991,"Philippe Rippes"
2013,"Barbara Álvarez"
870,"Sergio Armstrong "
2037,"Santiago Epstein"
2037,"Diego Velazco"
2048,"Inti Briones"
2038,"Alex Leyton"
2053,"Barbara Álvarez"
2054,"Tatiana Lorca"
2054,"Hernán Silva"
1205,"Florencia Larrea"
2054,"Mauricio García"
2054,"David Bravo"
2108,"Mirko Zlatar"
2108,"Tevo Díaz"
2109,"Andrés Garcés"
2094,"Sergio Armstrong "
2134,"Carlos Klein"
2135,"Denis Arqueros"
2156,"Andrés Garcés"
2168,"Ricardo de Angelis"
2169,"Antonio Quercia"
2172,"Enrique Stindt"
2211,"Enrique Warnken"
2218,"Sergio Armstrong "
1386,"Mirko Zlatar"
2224,"Cristián Soto"
2242,"Pablo Valdés"
2242,"Eduardo Cruz Coke"
2243,"Nicolás Ibieta"
2254,"Eduardo Bunster"
2254,"Arnaldo Rodríguez"
2273,"Andrés Garcés"
2080,"Miguel Bunster"
2080,"Juan Carlos Bustamante"
2292,"Matías Searle"
2335,"Pablo Berthelon"
2340,"Sol Hormazábal"
2347,"Diego Pequeño"
2377,"Benjamín Echazarreta"
2381,"Cristián Petit-Laurent"
1377,"Tevo Díaz"
2403,"Eduardo Bunster"
2421,"Eduardo Cruz Coke"
2421,"Pablo Insunza"
1192,"Pablo Valdés"
2475,"Inti Briones"
2483,"Francisco Jullián"
2520,"Benjamín Echazarreta"
2525,"Inti Briones"
2525,"Cristián Soto"
2525,"Niles Atallah"
2525,"José Luis Torres Leiva"
2562,"Gabriel del Carril"
2563,"Alberto D. Centeno"
2564,"Sergio Armstrong "
2566,"Cristóbal Cvitanic"
2580,"Arnaldo Rodríguez"
2588,"Inti Briones"
2603,"Gabriela Larraín"
2607,"Victoria Jensen"
2607,"Diego Gómez"
2609,"Sebastián Caro"
2609,"Marcelo Ubilla"
2637,"Juan Carlos Bustamante"
2678,"Ignacio González"
2704,"Miguel Bunster"
2715,"Inti Briones"
2738,"Pedro Micelli"
2740,"Raúl Heuty"
2741,"Adolfo Mesías"
2741,"Jeremy Hatcher"
2741,"Victoria Jensen"
2741,"Diego Lazo"
2744,"Cristian Sepúlveda"
2760,"pitu.the.beat."
2741,"Valeria Hofmann"
2781,"Sebastián Lelio"
2788,"Luis Abramo"
2827,"Miguel Bunster"
2835,"Antonio Quercia"
2836,"Inti Briones"
2837,"Eduardo Bunster"
2851,"Francisco Misle"
2853,"Cristián Petit-Laurent"
2861,"José Luis Arredondo"
2869,"Pedro Micelli"
2869,"Jorge Aguilar"
2869,"Luis Rebolledo"
2870,"Diego Poleri"
2877,"Richard Salgado"
2885,"Nicolás Ibieta"
2833,"Enrique Stindt"
2897,"Pablo Valdés"
2899,"Jorge Yacoman"
2900,"Pablo Valdés"
2914,"Chechu Graf"
2787,"Víctor Santos"
2916,"José Luis Canales"
3000,"José Luis Canales"
3009,"Miguel Ioan Littin"
3011,"Sergio Armstrong "
3010,"Sergio Armstrong "
3014,"Katell Djian"
3021,"David Bravo"
3021,"Eduardo Cruz Coke"
3022,"Andrés Jordán"
3048,"Benito Caro"
3048,"Rodrigo Fernández"
3048,"David Bravo"
3060,"Sebastián Moreno"
3061,"Pablo Valdés"
3079,"Arnaldo Rodríguez"
3085,"Pablo Insunza"
3100,"Antonio Quercia"
3120,"Mauro Veloso"
3123,"José Luis Canales"
3124,"Pablo Valdés"
3126,"Arnaldo Rodríguez"
3150,"Sergio Armstrong "
3164,"Benjamín Echazarreta"
3164,"Sergio Armstrong "
3169,"Eduardo Bunster"
3172,"Antonio Quercia"
3203,"Antonio Quercia"
3124,"Sebastián Caro"
2647,"Andrés Gallegos"
3309,"Cristóbal Azócar"
3316,"David Bravo"
3321,"Sergio Armstrong "
3419,"Arnaldo Rodríguez"
3419,"Daniel Grant"
3428,"Roberto Muñoz"
3458,"Carlos Vásquez Méndez"
3458,"Inti Briones"
3458,"Jackson Elizondo"
3582,"Leonardo Quezada"
