agno,titulo,linea,region,tipo,responsable,monto
2005,¡ PEGA MARTÍN PEGA !,CREACIÓN Y PRODUCCIÓN DE OBRAS AUDIOVISUALES,RM,PERSONA JURÍDICA,PRODUCCIONES AUDIOVISUALES DOSPASOS LIMITADA.,
2005,PINOCHETBOYS,CREACIÓN Y PRODUCCIÓN DE OBRAS AUDIOVISUALES,RM,PERSONA JURÍDICA,PINOCHETBOYS S.A.,
2005,"CALEUCHE, EL LLAMADO DEL MAR",CREACIÓN Y PRODUCCIÓN DE OBRAS AUDIOVISUALES,RM,PERSONA JURÍDICA,CHILEFILMS S.A.,
2005,PADRE NUESTRO,CREACIÓN Y PRODUCCIÓN DE OBRAS AUDIOVISUALES,RM,PERSONA JURÍDICA,PRODUCCIONES AUDIOVISUALES CACO LIMITADA,
2005,MATAR A TODOS,CREACIÓN Y PRODUCCIÓN DE OBRAS AUDIOVISUALES,RM,PERSONA JURÍDICA,ESTEBAN SCHROEDER Y CIA. LTDA.,
2005,TINTA NEGRA,CREACIÓN Y PRODUCCIÓN DE OBRAS AUDIOVISUALES,RM,PERSONA JURÍDICA,IGNACIO AGÜERO Y ASOCIADO LIMITADA,
2005,"""DESPUÉS DE LA DERROTA: CALLE SANTA FE""",CREACIÓN Y PRODUCCIÓN DE OBRAS AUDIOVISUALES,RM,PERSONA JURÍDICA,PAROX S:A.,
2005,LA CIUDAD DE LOS FOTÓGRAFOS,CREACIÓN Y PRODUCCIÓN DE OBRAS AUDIOVISUALES,RM,PERSONA NATURAL,SEBASTIÁN MORENO MARDONES,
2005,MICRO: CUESTIÓN DE ESCALA,CREACIÓN Y PRODUCCIÓN DE OBRAS AUDIOVISUALES,RM,PERSONA NATURAL,FRANCISCO IGNACIO HERVÉ ESPEJO,
2006,"EL CIELO, LA TIERRA Y LA LLUVIA (COPRODUX CHILE-FRANCIA/RODAJE 2006)",CREACION Y PRODUCCION DE OBRAS AUDIOVISUALES,X,PERSONA JURÍDICA,JIRAFA LTDA.,"  56,998,293 "
2006,ALICAHUE,CREACION Y PRODUCCION DE OBRAS AUDIOVISUALES,V,PERSONA NATURAL,PATRICIO JAVIER MUÑOZ GUAJARDO,"  33,197,850 "
2006,TURISTAS,CREACION Y PRODUCCION DE OBRAS AUDIOVISUALES,RM,PERSONA JURÍDICA,LA VENTURA LTDA,"  42,664,206 "
2006,RODAJE MI VIDA CON CARLOS,CREACION Y PRODUCCION DE OBRAS AUDIOVISUALES,RM,PERSONA JURÍDICA,CINEDIRECTO PRODUCCIONES LIMITADA,"  35,909,738 "
2006,DIEGO Y GLOT CONTRA LA CORPORACION,CREACION Y PRODUCCION DE OBRAS AUDIOVISUALES,RM,PERSONA JURÍDICA,CLAUDIO KRETZBERGER & CIA LTD,"  56,302,716 "
2006,CIRCO,CREACION Y PRODUCCION DE OBRAS AUDIOVISUALES,RM,PERSONA JURÍDICA,PRODUCCIONES AUDIOVISUALES Y GASTRONÓMICAS IDEAS EL ASOMBRO LTDA.,"  58,651,494 "
