"pelicula_id","nombre_personaje"
48,"Cristián Lecaros"
48,"Rodrigo Duque"
49,"Roberto Artiagoitía"
49,"Mateo Iribarren"
49,"Sebastián Sepúlveda"
50,"Jorge Olguín"
50,"Carolina García"
51,"Bernardita Puga"
51,"Tatiana Gaviola"
52,"Gonzalo San Martín"
52,"Cynthia Rimsky"
53,"Daniel Benavides"
54,"Alberto Daiber"
54,"Juan Pablo Lazo"
55,"Sebastián Silva"
55,"Pedro Peirano"
56,"Luis R. Vera"
59,"Roberto Artiagoitía"
59,"Pablo Illanes"
60,"Boris Quercia"
61,"Alfonso Gazitúa"
61,"Christian Morales"
62,"Mateo Iribarren"
62,"Pablo Larraín"
62,"Hernán Rodríguez"
63,"Ernesto Díaz"
64,"Sebastián Lelio"
66,"Rodrigo Sepúlveda"
70,"Sebastián Lelio"
70,"Gonzalo Maza"
75,"Julio Rojas"
90,"Gustavo Letelier"
90,"Maximiliano Meneses"
94,"Víctor Jiménez Atkin"
94,"María Eugenia Navarro"
108,"Miguel Littin"
114,"Carolina García"
114,"Jorge Olguín"
123,"Álvaro Díaz"
123,"Pedro Peirano"
123,"Daniel Castro"
123,"Rodrigo Salinas"
125,"Boris Quercia"
126,"Trinidad Jiménez"
127,"José Luis Torres Leiva"
128,"Raúl Ruiz"
130,"Sebastián Arrau"
130,"Fernando Aragón"
132,"Ernesto Díaz"
135,"Cristián Galaz"
135,"Andrea Ugalde"
137,"Nicolás López"
139,"Matías Cornejo"
139,"Matías Bize"
140,"Rodrigo Bastidas"
140,"Gonzalo Justiniano"
141,"Pablo Larraín"
141,"Alfredo Castro"
141,"Mateo Iribarren"
144,"Fernando Valenzuela Quinteros"
145,"Roberto Brodsky"
147,"Mamoun Hassan"
147,"Rodrigo Bazaes"
147,"Andrés Wood"
148,"Pablo Vierci"
148,"Alejandra Marino"
148,"Daniel Henríquez"
149,"Hernán Caffiero"
150,"Emilio Pacull"
152,"Nora Fernández"
152,"Marcelo Leonart"
152,"Cristián Jiménez"
152,"Andrés Waissbluth"
154,"Esteban Larraín"
157,"Felipe Villanueva"
242,"Alicia Scherson"
244,"Cristián Jiménez"
244,"Alicia Scherson"
245,"Alejandro Fernández Almendras"
253,"Julio Rojas"
253,"Paula del Fierro"
262,"Sebastián Brahm"
262,"Pablo Leighton"
262,"Francisco Hervé"
274,"Che Sandoval"
289,"Marcela Said Cares"
289,"Jean de Certeau"
297,"Francisca Fuenzalida"
299,"Coca Gómez"
321,"Carmen Castillo"
324,"Claudia Barril"
324,"Nora Fernández"
324,"Sebastián Moreno"
339,"José Luis Torres Leiva"
343,"Bettina Perut"
343,"Iván Osnovikoff"
344,"Galut Alarcón"
344,"Juan Ignacio Sabatini"
345,"Daniel Henríquez"
358,"César Caro"
361,"Isabel Troncoso"
361,"Edgardo Viereck"
396,"Lorena Giachino Torréns"
397,"Diamela Eltit"
397,"Malú Urriola"
397,"Alejandro Goic"
397,"Cristóbal Olivares"
482,"Cristián Sánchez G."
603,"Nicanor de la Sotta"
635,"Pablo Carrera"
635,"Christopher Murray"
731,"Germán Berger-Hertz"
731,"Joaquim Jordá"
731,"Roberto Brodsky"
778,"Pablo Larraín"
778,"Mateo Iribarren"
779,"Matías Bize"
779,"Julio Rojas"
780,"Nicolás López"
781,"Sebastián Silva"
781,"Pedro Peirano"
782,"Pablo Illanes"
787,"Sebastián Badilla"
789,"Galut Alarcón"
791,"Niles Atallah"
849,"Jorge Durán"
849,"Dani Patarra"
786,"Patricio Guzmán"
870,"Marialy Rivas"
870,"Rodrigo Bellot"
888,"Lorenzo Moscia"
890,"Macarena Aguiló"
898,"Matías Lira"
898,"Sebastián Arrau"
949,"Daniel Pizarro"
890,"Susana Foxley"
1050,"Paula Leovendagar"
1098,"Julio Jorquera"
