El asesino entre nosotros,
La vida me mata,tt1265183
Fiestapatria,tt0808267
Retrato de un Antipoeta,
Sangre Eterna,tt0287665
Lo Bueno de Llorar,tt0807000
Matar a Todos,tt1230463
Héroes Frágiles,tt0997455
199 recetas para ser feliz,tt1132571
Ilusiones Ópticas,tt1117978
All Inclusive: todo incluído,
El Poder de la Palabra,tt1512781
Te creís la más linda (pero erís la más puta),tt1305148
Juan Downey: más allá de estos muros,
Tiempos Malos,tt1305149
Pueblo Chico… Infierno Grande,
La Hija del General,
Mi vida con Carlos,tt1590118
Gatos Viejos,tt1683466
Schopsui,
Nostalgia de la luz,tt1556190
"Mitos y Leyendas, La Nueva Alianza",tt1739196
La Lección de Pintura,tt2098737
Prohibido Prohibir,
A la sombra del moai,
"Portales, La Última Carta",
Mi último round,tt1863321
"Electrodomésticos, El Frío Misterio",tt8350142
El tesoro de América - El oro de Pascua Lama,
Violeta se fue a los cielos,tt2014392
El año del tigre,tt2024396
El Mocito,tt2130019
Locas Mujeres,tt7999858/
Mapa para conversar,tt1742067
¿Alguien ha visto a Lupita?,tt1826958
Mapocho,
Joven y Alocada,tt2125698
De jueves a domingo,tt1398991
"Selkirk, el verdadero Robinson Crusoe",tt2231505
La noche de enfrente,tt1876360
Carne de perro,tt2424906
Donde vuelan los cóndores,
Morales el reformador,tt2070882
74 m2,tt2373988
Tráiganme la cabeza de la Mujer Metralleta,tt2424028
Rosita: La favorita del Tercer Reich,tt5764642
Inhabitable,
"Los Rockers, rebelde rock and roll",
Crystal Fairy y el cactus mágico,tt2332579
Soy mucho mejor que voh,tt2779910
El verano de los peces voladores,tt2884186
El árbol magnético,tt2884186
Promedio Rojo 2: Mis peores amigos,tt0415219
Volantín cortao,tt3342928
Historia de un oso (Bear Story),tt3829254
Gritos del bosque,tt1899305
No soy Lorena,tt3800250
La Mujer de Barro,tt4426842
El botón de nácar,tt4377864
Allende mi abuelo Allende,tt4136148
En la gama de los grises,tt4097612
Guagua cochina (Nasty baby),tt3121332
Vida sexual de las plantas,tt4716184
Knock Knock: Seducción Fatal,tt3605418
Tánana,
Niña sombra,tt5533466
