"pelicula_id","nombre_personaje"
48,"Constanza Polanco"
48,"María de los Ángeles Varela"
49,"Guadalupe Correa"
52,"Mauricio Castañeda"
52,"Martin Seltzer"
56,"Constanza Racz"
56,"Joan Rosenfeld"
61,"Paula Yolin"
62,"Dora Roldán"
63,"Carola Lizana"
75,"Mercedes Marambio"
108,"Guadalupe Correa"
126,"Pamela Pollak"
127,"Amparo Aguirre"
132,"Carla Gasic"
135,"Amparo Aguirre"
137,"Carola Lizana"
140,"Neldi Funes"
145,"Amparo Aguirre"
148,"Claudia González"
253,"Mercedes Marambio"
780,"Felipe Figueroa"
778,"Margarita Marchi"
783,"Dennise Hilliard"
783,"Olga Constanzo"
1382,"Loredana González"
787,"Paz Retamal"
1379,"Guadalupe Correa"
1667,"Felipe Figueroa"
1846,"Magdalena Bello"
1846,"Camila Valencia"
1846,"Simone Weber"
870,"Valentina Groferi"
2048,"Clara Farto"
1377,"Alejandra Valdebenito"
2483,"Carolina Grove "
2647,"Carola Garrido"
2678,"Angela Ríos"
2706,"Carolina Grove "
2851,"Carolina Grove "
137,"Pamela Pollak"
2013,"Pamela Pollak"
2475,"Pamela Pollak"
1393,"Pamela Pollak"
3428,"Fabián Torres"
