"pelicula_id","nombre_personaje"
48,"Pablo Kohler"
49,"Diego Valenzuela"
49,"Juan de Dios Larraín"
49,"Carlos Hansen"
50,"Ana María Aguilar"
51,"Patricia Navarrete"
52,"Jorge Benítez"
52,"Carmen Pantoja"
53,"Roberto Sancho"
54,"Katrin Wuschansky"
54,"Priscila Corvetto"
54,"Kati Steinert"
55,"Juan de Dios Larraín"
55,"Pablo Larraín"
56,"Luis R. Vera Producciones E.I.R.L."
59,"Diego Valenzuela"
62,"Hernán Larraín"
62,"Juan de Dios Larraín"
63,"Derek Rundell"
63,"Marko Zaror"
63,"Ernesto Díaz"
63,"Brad T. Gottfred"
63,"Mike Traa"
64,"Úrsula Budnik"
66,"María de los Ángeles Ibarra"
90,"Gustavo Letelier"
90,"Rodrigo Riquelme"
94,"María Eugenia Navarro"
75,"Adrián Solar"
75,"Christoph Meyer-Wiel"
61,"Christian Olguín"
61,"Magdalena Gissi "
108,"Jorge Infante Silva"
114,"Daniel Pantoja"
123,"Juan Manuel Egaña"
125,"Diego Izquierdo"
126,"Mauricio Arriagada"
126,"Karina Díaz"
126,"Andrea Garry"
128,"Christian Aspee"
130,"Mauricio Arrau"
132,"Derek Rundell"
132,"Marko Zaror"
135,"Paul Sáenz"
135,"Mauricio Sepúlveda"
136,"Harriet Milrose"
137,"José Manuel Lorenzo"
137,"Eduardo Campoy"
137,"Elizabeth Avellan"
137,"Nicolás López"
137,"Javier Valiño"
139,"Montse Martí"
139,"Oriol Ferrer"
139,"Matías Bize"
140,"Rodrigo Bastidas"
140,"Fernando Saenz"
140,"Enrique Arroyo"
141,"Juan de Dios Larraín"
144,"Eduardo Larraín"
145,"Bruno Bettati"
147,"Andrés Wood"
147,"Mamoun Hassan"
147,"Gerardo Herrero"
147,"Diego Dubcovsky"
149,"Jenny Bousquet"
149,"Anita O'Ryan"
149,"Hernán Caffiero"
150,"Jean Bigot"
152,"Bruno Bettati"
154,"Esteban Larraín"
154,"Elena Hill"
244,"Bruno Bettati"
244,"Andrés Waissbluth"
244,"Miguel Ángel Labarca"
244,"Juan J. Harting"
244,"Ignacio Eyzaguirre"
244,"Pandora da Cunha Telles"
244,"Cyriac Auriol"
245,"Bruno Bettati"
245,"Elise Jalladeu"
253,"Adrián Solar"
253,"Patricio Lynch"
253,"Rodrigo Ortúzar"
253,"Jaime Solís"
262,"Francisco Hervé"
289,"Christine Le Goff"
289,"Emmanuelle Koenig"
289,"Jorge Triviño"
299,"Miguel Asensio"
299,"Nicolás López"
299,"Coca Gómez"
321,"Leonora González"
321,"Mary Ann Beausire"
321,"Pablo Sierralta"
324,"Viviana Erpel"
339,"Macarena López"
343,"Bettina Perut"
343,"Vanessa Zúñiga"
345,"Daniel Henríquez"
361,"Edgardo Viereck"
361,"Macarena Concha"
396,"Lorena Blas"
396,"Paola Castillo"
397,"Felipe Zabala"
397,"Andrés Racz"
482,"Paulina Ferreti"
482,"Felipe Velasco"
603,"Nicanor de la Sotta"
603,"Esteban Artuffo"
635,"Bruno Bettati"
635,"Daniel Laguna"
635,"Cristián Freund"
641,"Alejandra García"
641,"Patricio Pereira"
779,"Adrián Solar"
780,"Miguel Asensio"
780,"Nicolás López"
787,"Sebastián Badilla"
789,"Tomás Macán"
789,"Rodrigo Arellano"
789,"Tomás Irarrázaval"
789,"Sebastián Kohan"
791,"Niles Atallah"
791,"Francisco Albornoz"
786,"Meike Martens"
786,"Cristóbal Vicente"
870,"Juan de Dios Larraín"
888,"Lorenzo Moscia"
890,"Juan Manuel Egaña"
890,"Macarena Aguiló"
890,"Richard Copans"
898,"Matías Lira"
778,"Juan de Dios Larraín"
781,"David Robinson"
781,"Kimberly Jose"
781,"Sebastián Silva"
1170,"Dominique Martel"
1171,"José Cid"
1176,"Camilo Becerra"
1176,"Marco Roldán Rojas"
1171,"Paula Talloni"
1171,"Pablo Stephens"
1171,"Alejandra Holzapfel"
1171,"Rosita Ayress"
1236,"Cristián Opazo"
1236,"Bernardo Palau"
1261,"Luis R. Vera"
1261,"Sergio Trabucco"
1261,"Leo Rubin"
1261,"David Rodríguez"
1261,"Juan Martín Cueva"
1261,"Cristian Calónico"
1261,"Camilo Vives"
1261,"Pamela Robin"
1261,"Teresa Saldarriaga"
1261,"Marcos Loayza"
1261,"Carlos Atkins"
1344,"Cristián Castillo"
1378,"Bruno Bettati"
245,"Eduardo Villalobos"
1391,"Juan de Dios Larraín"
1392,"Marcela Said Cares"
792,"Andrés Wood"
792,"Teresa Fernández"
792,"Berta Navarro"
785,"Bettina Perut"
1395,"Daniela Sandoval"
1429,"Constanza Fernández Bertrand"
1497,"Alicia Scherson"
787,"Gonzalo Badilla"
1200,"Alfredo Mora"
1378,"Julie Gayet"
1378,"Nadia Turincev"
1378,"Natacha Cervi"
1378,"Hernán Musaluppi"
1664,"Flor Rubina"
1664,"María Paz González"
1664,"Francisco Hervé"
1380,"Juan de Dios Larraín"
1380,"Pablo Larraín"
1380,"Gonzalo Maza"
1709,"Gonzalo Justiniano"
1709,"Daniel de la Vega"
1709,"Caspar Arnhold"
1667,"Miguel Asensio"
1717,"Matías Cardone"
791,"José Luis Torres Leiva"
791,"Gabriela Sobarzo"
1753,"Ana María Hurtado"
1769,"Macarena Cardone"
1769,"Macarena Concha"
1769,"Matías Cardone"
1769,"Karen Meyer"
1770,"Ana Perera"
1811,"Pablo Basulto"
1811,"Francisca Hermosilla"
1391,"Pablo Larraín"
1391,"Hernán Musaluppi"
1982,"Juan de Dios Larraín"
1982,"Pablo Larraín"
870,"Pablo Larraín"
2038,"Francesc Morales"
2038,"Camilo Klein"
2038,"Jorge Gaete"
1395,"Karla Estrada"
2048,"Christian Aspee"
2038,"Catherine Mazoyer"
2053,"Adrián Solar"
2094,"Juan de Dios Larraín"
2094,"Pablo Larraín"
2094,"Daniel Marc Dreifuss	"
2109,"Daniel Ruby"
2134,"Carlos Klein"
2156,"Antonia Santa María"
1378,"Pandora da Cunha Telles"
2169,"Miguel Asensio"
2172,"Víctor Cubillos"
2218,"Juan de Dios Larraín"
2218,"Diego Valenzuela"
1386,"Matías Cruz"
2053,"Jacques Bidou"
2053,"Marianne Dumoulin"
2224,"Catalina Vergara"
2242,"Paola Castillo"
2242,"Soledad Silva"
2243,"Nicolás Ibieta"
2243,"George von Knorring"
2243,"Guillermo Prieto"
2080,"Cristián Aguilar"
2080,"Jorge Olguín"
2080,"Sara Silveira"
2335,"Patricia Leiva"
2340,"Ricardo Villarroel "
2347,"Marlene Vargas"
2377,"Pablo Larraín"
2377,"Juan de Dios Larraín"
2168,"Christoph Friedel"
2168,"Claudia Steffen"
2168,"Mario Mazzarotto"
2168,"Emanuele Nespeca"
2168,"Luis Ramírez"
2168,"Alvaro Donoso"
2381,"Pablo Larraín"
2381,"Juan de Dios Larraín"
2377,"Sebastián Lelio"
2377,"Gonzalo Maza"
2760,"Daniel Véliz"
2475,"Bruno Bettati"
2483,"Eugenio Ramírez"
2520,"Juan de Dios Larraín"
2520,"Pablo Larraín"
2524,"Gabriela Sandoval"
2524,"Carlos Núñez"
2524,"Shawn Garry"
2525,"Catalina Vergara"
2562,"Ignacio Santa Cruz"
2563,"Sergio Gándara"
2563,"Rafael Alvarez"
2563,"Ignacio Monge"
2564,"Dominique Martel"
2566,"Diego Rougier"
2580,"Fernando Bascuñán"
2580,"Florencia Larrea"
2580,"Alicia Scherson"
2588,"Juan de Dios Larraín"
2588,"Pablo Larraín"
2603,"Gonzalo Rodríguez"
2169,"Nicolás López"
2607,"Soledad Trejo"
2609,"Pablo Rosenblatt"
2211,"Christian Torres"
2211,"Pablo Mantilla"
2211,"Gonzalo Carracedo"
2647,"Gonzalo Escobar"
2647,"Fernanda Morales"
2637,"Sebastián Freund"
2637,"Carlos Hansen"
2637,"Lalo Prieto"
2704,"Francisca Cummins"
2706,"Sebastián Badilla"
2706,"Gonzalo Badilla"
2715,"Eduardo Villalobos"
2715,"Guillaume De Saille"
2109,"Alan Fischer"
