"pelicula_id","nombre_personaje"
48,"Claroscuro"
49,"Fábula"
49,"Pueblo Cine"
50,"Sleepy Giant Entertainment (USA)"
50,"Chile Films"
51,"Octubre Cine y TV"
51,"Televisión Nacional de Chile (TVN)"
52,"Cinembargo Comunicaciones Cine Televisión"
53,"Jirafa films"
54,"Terranova Producciones"
55,"Fábula"
56,"Luis R. Vera Producciones E.I.R.L."
56,"Inca Cine S.A.C. (Perú)"
59,"Pueblo Cine"
60,"Chilechitá"
61,"Allegro Films"
62,"Fábula"
63,"Mandrill Films"
63,"Chilechitá"
64,"Horamágica"
66,"Producciones Audiovisuales Caco Ltda."
66,"El Asombro"
70,"Horamágica"
70,"Divine Productions"
64,"Zoofilmes"
64,"Bixo"
75,"Ceneca Producciones"
75,"CMW Films (Alemania)"
90,"Amerindia Films"
94,"Jiménez Navarro Ltda."
108,"Azul Films"
108,"VPCCinema Produçoes Artisticas (Brasil)"
70,"Parox S.A."
114,"Angel Films Producciones S.A."
123,"Aplaplac"
125,"Chilechitá"
125,"Lado Izquierdo"
125,"CINE XXI"
126,"Creative Content Producciones "
127,"Charivari Films"
127,"Jirafa films"
127,"Rommel Film"
128,"Suricato"
128,"Margo Films"
130,"Lapsus Producciones"
130,"Alce Producciones Ltda."
132,"Mandrill Films"
135,"Delirio Films"
136,"Perut + Osnovikoff"
136,"Axis Asociati"
136,"Arcoiris"
136,"Parox S.A."
139,"Digital Barcelona Film Festival"
139,"M.O.M. Produccions"
140,"Sahara Films Producciones S.A. "
140,"Cinecorp Ltda. "
140,"Bastidas"
141,"Fábula"
141,"Prodigital (Brasil)"
144,"Sincronía Film"
145,"Agosin Films"
147,"Wood Producciones S.A"
147,"DB cine (Argentina)"
147,"Tornasol Films (España)"
147,"UK Films (Reina Unido)"
147,"Chile Films"
148,"Guazú Media"
148,"Morocha Films (Argentina)"
148,"Sur Films"
148,"Parox S.A."
149,"Sudaka Films"
152,"Retaguardia Films"
152,"14 Pies (España)"
152,"Jirafa films"
152,"Zoofilmes"
154,"Piranha Films"
157,"Coquimbo Filmes producciones Ltda."
242,"La Ventura"
244,"Retaguardia Films"
244,"Jirafa films"
244,"Roos Films"
244,"Filmes Fundo"
253,"Jazz Films"
253,"Panamax Films"
274,"Punk on Palta Producciones"
289,"Icalma films"
289,"Valparaíso productions"
262,"Panchito Films"
297,"Zona Cinema"
299,"Parábola"
299,"Sobras Producciones"
321,"Les Films d’Ici"
321,"Parox S.A."
321,"Les Films de la Passarelle (Belgica)"
321,"Love Streams"
321,"Agnes B."
324,"Las Películas del Pez"
339,"La Aventura"
343,"Perut + Osnovikoff"
344,"Pozzola Producciones"
345,"Rates Soriano Ltda."
345,"Imval Producciones (España)"
358,"Películas Plot"
358,"Filamento Films"
603,"De la Sotta Films"
603,"Artuffo Films"
635,"Jirafa films"
635,"Zoofilmes"
641,"Wood Producciones S.A"
731,"Todo por las niñas"
731,"Cinedirecto Producciones"
778,"Fábula"
779,"Ceneca Producciones"
849,"El Desierto Filmes Ltda."
786,"Atacama Producciones"
786,"Blinker Filmproduktion & WDR (Alemania)"
786,"Cronomedia"
870,"Fábula"
890,"Aplaplac"
890,"Les Films d’Ici"
890,"Instituto Cubano del Arte e Industrias Cinematográficas (ICAIC)"
949,"Promocine"
635,"L90 Cine Digital"
635,"El Buen Tiempo"
297,"L90 Cine Digital"
1050,"Solo por las niñas"
1050,"En el juego producciones"
1098,"Umana films Producciones Ltda"
1098,"Basicacine S.A (Argentina)"
778,"Canana (México)"
778,"Autentika (Alemania)"
1170,"Promedia"
1171,"Ojo Film"
1205,"Shoot The Bastard Films"
1205,"Kiné-Imágenes Producciones"
1205,"L90 Cine Digital"
753,"Mitomanaproducciones"
1261,"Luis R. Vera Producciones E.I.R.L."
1261,"Fundación La Villa del Cine"
1261,"Metatron films"
1261,"Otra Cosa Producciones"
1261,"Instituto Cubano del Arte e Industrias Cinematográficas (ICAIC)"
245,"Jirafa films"
245,"Charivari Films"
1391,"Fábula"
1392,"Icalma films"
792,"Perelman y Del Río Producciones Ltda."
792,"Wood Producciones S.A"
792,"Salamandra Films (México)"
792,"Oasis P.C. (México)"
785,"Perut + Osnovikoff"
781,"Elephant Eye Films"
781,"Diroriro"
1393,"Escala Humana"
1393,"Doménica Films (Argentina)"
1395,"Errante Producciones"
787,"Bufonada"
787,"La Moviola"
1551,"Wood Producciones S.A"
1378,"Jirafa films"
1378,"Rouge International (Francia)"
1378,"Rizoma (Argentina)"
1378,"Ukbar filmes (Portugal)"
1379,"Wood Producciones S.A"
1379,"Maiz Producciones S.A. (Argentina)"
1380,"Fábula"
1770,"Propagandacine"
1837,"El Costillar Films"
1846,"Excalibur Cine"
2013,"Cinestación"
2013,"Productora Forastero"
2013,"Circe Films (Holanda)"
2037,"Maiz Producciones S.A. (Argentina)"
2037,"Patagonik (Argentina)"
2037,"Cineanimadores"
2037,"Tournier Animación (Uruguay)"
2037,"La Suma (Uruguay)"
791,"Diluvio"
2053,"Ceneca Producciones"
2053,"Parafina Films"
1982,"Fábula"
1382,"Picardía Films"
1382,"Cruz del Sur Cine"
2108,"Trébol 3 Producciones LTDA"
2109,"Ant Fire Productions"
2156,"La Santa"
2094,"Fábula"
2168,"Jirafa films"
2168,"La Ventura"
2168,"Movimento Film (Italia)"
2168,"Astronauta (España) "
