"pelicula_id","nombre_personaje"
56,"Filmosonido"
56,"Cinesur"
56,"Trinacrio Ltda."
62,"Nicolás Boetsch"
62,"Tomás Dittborn"
62,"Ricardo Fernández"
63,"José Marcelo Salas"
63,"Jorge Abud"
64,"Retaguardia Films"
75,"Stephan Herzog"
61,"Juan Alberto Fernandez"
61,"Francisco Nilo"
61,"José Beltrán"
61,"Mauricio Malbrán"
61,"Rodrigo Vera"
61,"Rodolfo Martínez"
61,"Francisco Escandón"
61,"Eduardo Vicuña"
61,"Sergio del Campo"
61,"Joaquín Cornejo"
61,"Omar Reyes"
61,"Carlos Villant"
61,"Jaime Valenzuela"
61,"Jorge Zúñiga"
61,"Felipe Barriga"
61,"Rodrigo Silva"
61,"Cristián Salazar"
61,"Andrés Rillón"
108,"Cristián de la Fuente"
108,"Alen Cine"
108,"Cristina Littin"
70,"Sergio Gándara"
70,"Eduardo Lobos"
125,"Chile Films"
128,"Macarena Concha"
130,"Vértigo"
130,"Zoofilmes"
130,"Cinesur"
130,"Jirafa films"
145,"Goliat Films"
242,"Arauco Films"
242,"Faune Producciones"
244,"Zoofilmes"
244,"MC Films"
253,"Soco Aguilar"
253,"Jorge Cardemil"
253,"Raul Daniño"
253,"Paul Furst"
253,"José Antonio Graces"
253,"Heriberto Urzúa"
297,"Alvaro Corvera"
321,"Sergio Gándara"
321,"Serge Lalou"
321,"Christine Terrier"
321,"Sophie De Hijes"
358,"Richard Meza"
358,"Gina Ortega"
358,"María Lourdes Cortés"
358,"César Caro Brown"
358,"Javier Valdivia"
361,"UNIACC"
361,"Silvio Caiozzi"
641,"Canal 13"
641,"Canal Arte (Francia)"
780,"Carlos Anaya"
780,"Pablo Courard"
898,"Felipe Lira"
1170,"Diego Valenzuela"
782,"Los Tres Mosqueteros"
1378,"Étienne Mallet"
1378,"David Gauquié"
1378,"Julien Deris"
1378,"Nicolás Lesage "
1664,"Brian Jacobs "
1667,"Carlos Garriga"
1667,"Carlos Hansen"
1667,"Chepo Sepúlveda"
1667,"Pablo Courard"
1667,"Ben Odell"
1837,"Raphael Bottino"
1846,"Rodrigo Muñoz Cazaux"
1846,"Francisco Valderrama"
2048,"François Margolin"
2292,"Ilan Numhauser"
2292,"Iñaki Fernandois"
2377,"Martín Cárcamo"
1377,"Oliver Röpke"
2566,"Mariana Loyola"
2637,"Matías Cardone"
2637,"Macarena Cardone"
2637,"Macarena Concha"
2706,"Carlos Hansen"
2738,"Mario Velasco C."
3010,"Mauro Arrau"
2899,"Eduardo Villalobos"
2899,"Nicole Pérez L."
